record_id,patent_id,title,abstract,rep_claim,app_no,grant_no,pub_no,app_date,grant_date,assignee,current_owner,assignee_country,cpc_main_orig,cpc_main,cpc_all,family_id,family_size,n_backward_cites,n_forward_cites,n_claims,wips_key,label_v1
14/618326,9517563,Robot system using visual feedback,The robot system includes: a robot for performing predetermined operations on an object placed at a first object position; a first robot position storage configured to store the position of an arm end arranged in a predetermined positional relationship relative to the first object position; a target arrival state data storage configured to store feature quantities of the object on the camera image; a robot movement amount calculator configured to calculate the amount of movement in order to make the feature quantities of the object placed at a second object position coincide with the feature quantities of the target arrival state data; and a correction data calculator configured to calculate correction data based on the difference between the second robot position when the arm end has been moved based on the amount of movement and the first robot position.,"1. A robot system, comprising: a robot that is controlled by a program including operational instructions for performing predetermined operations on an object placed at a first object position on a plane by use of a device attached to an arm end of the robot;a camera that is attached to the arm end to take an image of the object;a first robot position storing unit configured to store, as a first robot position, a position of the arm end arranged in a predetermined positional relationship relative to the first object position;a target arrival state data storing unit configured to store, at least one feature quantity among a position, attitude and size of the object on the image of the camera in a target arrival state where the object is placed at the first object position while the arm end is positioned at the first robot position, as the target arrival state data;a robot movement amount calculator configured to calculate an amount of movement from an arbitrary initial position of the arm end in order to make, at least one feature quantity of the position, attitude and size on the image of the object when the object placed at a second object position on the plane has been captured by the camera with the arm end of the robot positioned at the arbitrary initial position, agree with the at least one feature quantity of the target arrival state data; anda correction data calculator configured to calculate correction data for correcting a robot position taught in the program based on a difference between the first robot position and a second robot position, wherein the second robot position is the position of the arm end when the arm end has been moved based on the calculated amount of movement.",14/618326,9517563,2015-0224649,2015-02-10,2016-12-13,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/1697,B25J-0009/1697,B25J-0009/1697 | B25J-0009/1607 | B25J-0009/1692 | G05B-0019/4083 | G05B-2219/39397 | G05B-2219/40003 | Y10S-0901/09,16813467,4,22,26,6,4916050001287,GRAY
14/623044,9604360,Robot system for preventing accidental dropping of conveyed objects,"A robot system comprises a robot provided with a robot arm and a robot hand, and a control device for controlling the motion of the robot, wherein a permitted area where a teaching operation for the robot hand should be permitted is preset within a maximum area which the robot hand can reach. The control device is provided with a judging part which judges if the robot hand as a whole is present in the permitted area, based on robot hand position information, and a teaching operation restricting part which permits a teaching operation for the robot hand when it is judged that the robot hand as a whole is present in the permitted area and prohibits a teaching operation for the robot hand when it is judged that the robot hand as a whole is not present in the permitted area.","1. A robot system comprising a robot which is provided with a robot arm having a wrist part and with a robot hand attached to said wrist part, and a control device which controls the motion of said robot, wherein a permitted area where a teaching operation for said robot hand should be permitted is preset above a table that is within a maximum area which said robot hand can reach, and that an object to be conveyed by said robot hand can be placed on, wherein the permitted area has a shape covering less than all of the robot arm, andsaid control device comprisesa judging part which judges if said robot hand as a whole is present in said permitted area, based on robot hand position information which expresses a position and posture of said robot hand anda teaching operation restricting part which permits a teaching operation for said robot hand when it is judged that said robot hand as a whole is present in said permitted area, and prohibits a teaching operation for said robot hand when it is judged that said robot hand as a whole is not present in said permitted area.",14/623044,9604360,2015-0231785,2015-02-16,2017-03-28,Fanuc Corporation,FANUC CORPORATION,JP,B25J-0009/163,B25J-0009/163,B25J-0009/163 | B25J-0009/1671 | G05B-2219/40382 | G05B-2219/40478 | Y10S-0901/03 | Y10S-0901/30 | Y10S-0901/47,16813487,4,27,5,8,4917013001708,GRAY
14/618184,9327399,Movement control method for mobile robot,A prediction model for predicting a mobile robot state is constructed to represent a state change of the mobile robot in a prediction interval of a predetermined duration; time-series data on a control input to ensure stability of the mobile robot is obtained in the prediction interval using a predetermined stability evaluation criterion and a constraint condition based on a mechanical balance; a center-of-gravity trajectory of the mobile robot is obtained based on the time-series data and prediction model; a slack variable for relaxing a constraint is introduced into a constraint condition; a slack variable is introduced into the stability evaluation criterion such that the variable becomes zero when a solution to a stable trajectory is obtained under the constraint condition and a slack variable value is generated when the trajectory diverges under the constraint condition; and positions of contact points are changed so as to cancel the generated value.,"1. A movement control method for a mobile robot that moves while causing two or more mobile means to alternately contact the ground, the movement control method comprising: a contact-point planning setting step of setting contact-point planning using time-series data representing positions of contact points where the mobile means contact the ground; anda trajectory generation step of generating a trajectory for a movement of the mobile robot while causing the mobile means to contact the ground at the contact points as set in the contact-point planning setting step,wherein the trajectory generation step includes changing the positions of the contact points when the trajectory diverges.",14/618184,9327399,2015-0231786,2015-02-10,2016-05-03,TOYOTA JIDOSHA KABUSHIKI KAISHA,TOYOTA JIDOSHA KABUSHIKI KAISHA,JP,B25J-0009/1605,B25J-0009/1605,B25J-0009/1605 | B62D-0057/032,16813505,3,14,20,8,4916018001521,GRAY
14/590223,9452532,"Robot, device and method for controlling robot, and computer-readable non-transitory recording medium","A robot determines whether or not an operator or an object is jammed between a robot arm and an external structure, classifies an area in which an end portion of the robot arm moves into a restricted area and an unrestricted area, and sets a restriction period. If a period after detection of the jam is in the restriction period and the end portion is in the restricted area, restriction on movement is imposed on one or more joints of the robot arm. The restriction on movement is a stoppage of movement of one or more joints. If the period after detection of the jam is after the restriction period, the restriction on movement is removed. If the period after detection of the jam is in the restriction period and the end portion is in the unrestricted area, the restriction on movement is not imposed on the joints.","1. A robot comprising: a position information obtaining unit that obtains position information about an end portion of a robot arm having a plurality of joints;a first force detector that detects a force that an operator applies to the robot arm;a jam determination unit that determines whether or not the operator or an object is jammed between the robot arm and an external structure on the basis of the force detected by the first force detector;an area classification unit that classifies an area in which the end portion moves into a restricted area and an unrestricted area;a restriction period setting unit that sets a restriction period during which movement of the robot arm is restricted;a microprocessor that: imposes movement restriction on, and automatically stops movement of, one or more of the plurality of joints if an elapsed period after detection of the jam is in the restriction period and the end portion is located in the restricted area, and does not restrict movement of at least one of the plurality of joints excluding the one or more of the plurality of joints,removes the movement restriction if the elapsed period ends after the restriction period, anddoes not impose movement restriction on the plurality of joints if the elapsed period after detection of the jam is in the restriction period and the end portion is located in the unrestricted area.",14/590223,9452532,2015-0209961,2015-01-06,2016-09-27,"Panasonic Intellectual Property Management Co., Ltd.","PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",JP,B25J-0009/1676,B25J-0009/1676,B25J-0009/1676 | G05B-2219/40202 | Y10S-0901/02 | Y10S-0901/46 | Y10S-0901/49 | G05B-2219/39082 | G05B-2219/39209,16818975,3,9,28,15,4916039001445,GRAY
14/638465,9687985,"Robot hand having workpiece positioning function, robot system, and method of positioning and gripping workpiece","The robot hand of the present invention comprises: a first abutting part which projects from a main body part in Z-direction, and has a first abutting surface against which a first surface of the workpiece abuts; second and third abutting parts which extend from the main body part, and against which the second and third surfaces of the workpiece abut respectively; and a suction member which is attached to the main body part so as to hold by suction the first surface. The suction member is deformable into an elongated shape where the suction surface is located in front of the first abutting surface in Z-direction, and into a contracted shape where the suction surface is located in back of the first abutting surface in Z-direction.","1. A suction-type robot hand for gripping a workpiece which has a mutually intersecting first surface, second surface, and third surface, comprising: a main body part;a first static abutting part which projects from the main body part in a projecting direction, and has a first abutting surface against which the first surface of the workpiece physically abuts;a second static abutting part which extends from the main body part in the projecting direction, and against which the second surface of the workpiece physically abuts;a third static abutting part which extends from the main body part in the projecting direction, and against which the third surface of the workpiece physically abuts; anda suction member attached to the main body part, and having a suction surface which physically abuts and holds by suction the first surface of the workpiece,wherein the suction member projects from the main body part in the projecting direction, andwherein the suction member is deformable into an elongated shape in the projecting direction when suction is not applied to the suction member, and into a contracted shape in the projecting direction when suction is applied to the suction member, the contracted shape in the projecting direction physically limited by the first static abutting part.",14/638465,9687985,2015-0251320,2015-03-04,2017-06-27,Fanuc Corporation,FANUC CORPORATION,JP,B25J-0015/0616,B25J-0015/0616,B25J-0015/0616 | B25J-0015/0052,16829844,4,17,11,4,4917026001759,GRAY
14/616992,9327408,Robot control device detecting contact with external environment,"A robot control device includes: an internal force estimating unit; a storage unit in which, in each small region of a rotational operation region of a plurality of joints of a robot arm, an internal force estimated by the internal force estimating unit is subtracted from an output of the force sensor in a state in which the robot arm is not in contact with an external environment, thereby storing a force correction amount; a force correction amount determining unit in which a force correction amount corresponding to each of the current angles of the plurality of joints of the robot arm is determined; and a contact force calculating unit in which a contact force when the robot arm is in contact with an external environment is calculated by subtracting an internal force and the force correction amount from a current output of the force sensor.","1. A robot control device for controlling an articulated robot to which a force sensor is attached, comprising: an internal force estimating unit for estimating a force generated at a point where the force sensor is attached as an internal force, based on the weight of each of a robot arm and a hand attached to the tip of the robot arm in a state in which the robot arm of the robot is not in contact with an external environment, and an inertial force generated by the operation of each of the robot arm and the hand;a storage unit in which each rotational operation region of a plurality of joints of the robot arm is divided into a plurality of small regions depending on the angle, and for each of the small regions, an internal force estimated by the internal force estimating unit is subtracted from an output of the force sensor in a state in which the robot arm is not in contact with an external environment, thereby storing a force correction amount;a force correction amount determining unit in which a force correction amount corresponding to each of the current angles of the plurality of joints of the robot arm is determined by the storage unit; anda contact force calculating unit in which a contact force when the robot arm is in contact with an external environment is calculated by subtracting an internal force estimated by the internal force estimating unit and the force correction amount determined by the force correction amount determining unit from a current output of the force sensor.",14/616992,9327408,2015-0258690,2015-02-09,2016-05-03,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0013/085,B25J-0013/085,B25J-0013/085 | B25J-0009/1633 | B25J-0019/06 | G01L-0005/0052 | G01L-0005/226 | G05B-2219/39319 | Y10S-0901/46,16830165,4,15,16,2,4916018001530,GRAY
14/644829,9481091,Robot system for taking out bulk stacked workpieces and judgment method for judging workpiece gripping state,"A robot system for successively taking out bulk stacked workpieces of the same type, wherein a hand of a robot comprises: a base part attached to an arm, a cylinder device with a cylinder and a piston rod, and a gripping part attached to a front end part of the piston rod. The robot system further comprises a fluid pressure adjusting device which adjust a fluid pressure inside of the cylinder, a movement detecting device which detects a retracting movement of the piston rod, and a judgment device which judge if the hand is gripping a designated number of workpieces, based on a magnitude of fluid pressure inside the cylinder and detection results of the movement detecting device.","1. A robot system for successively taking out bulk stacked workpieces of the same type, using a robot comprising an arm and a hand, wherein said hand comprises:a base part which is attached to said arm,a cylinder device which has a cylinder which extends downward in the vertical direction from said base part and a piston rod which projects out from a front end part in an extension direction of said cylinder and is configured to move in an opposite direction to the projecting direction due to fluid pressure inside said cylinder, anda gripping part which is attached to a front end part of said piston rod in the projecting direction and which is configured to grip a workpiece, andsaid robot system further comprises:a fluid pressure adjusting device which is configured to adjust a fluid pressure inside of said cylinder,a movement detecting device which detects movement of said piston rod in an opposite direction to said projecting direction, anda judgment device which judges when said hand is gripping a designated number of workpieces based on a magnitude of fluid pressure inside said cylinder and detection results of said movement detecting device,said fluid pressure adjusting device is configured to adjust the fluid pressure inside said cylinder such that said gripping part receives a force in the opposite direction from said projecting direction to be movable with said piston rod in the opposite direction from said projecting direction until said gripping part grips the workpiece.",14/644829,9481091,2015-0258689,2015-03-11,2016-11-01,Fanuc Corporation,FANUC CORPORATION,JP,B25J-0009/1697,B25J-0009/1697,B25J-0009/1697 | B25J-0013/087 | Y10S-0901/47,16830167,4,19,6,4,4916044001530,GRAY
14/667301,9701017,Process application robot system having function for managing process condition,"A process application robot system in which a process condition can be adjusted even when operation limitation regarding setting the condition is valid, while ensuring safety regarding management and operation of the process condition. The robot system includes a robot which carries out a predetermined process operation; a robot controller which controls the robot; a process controller which controls a processing treatment in the process operation; an interface part for setting, changing or adjusting a process condition which determines a content of the process treatment; and a process condition change managing part which carries out an operation limitation with respect to setting of or setting change in the process condition. The content of the process condition which is set when the operation limitation is invalid is determined as a reference condition, and the process condition can be adjusted within an adjustable range based on the reference condition.","1. A process application robot system comprising: a robot which carries out a predetermined process operation with respect to an object to be processed;a robot controlling part which controls a motion of the robot;a process controlling part which controls a processing treatment in the process operation carried out by the robot;an interface part for setting, changing or adjusting a process condition which determines a content of the process treatment commanded by the process controlling part, wherein the process condition does not include a condition regarding the motion control of the robot; anda process condition change managing part which carries out an operation limitation with respect to setting of or setting change in the process condition, based on a predetermined judgment condition,wherein the process condition, which is set when the operation limitation by the process condition change managing part is invalid, is applied to the system as a reference condition, and wherein, when the operation limitation by the process condition change managing part is valid, the process condition can be adjusted within an adjustable range based on the reference condition.",14/667301,9701017,2015-0273690,2015-03-24,2017-07-11,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/1656,B25J-0009/1656,B25J-0009/1656 | G05B-2219/35472 | G05B-2219/36542 | Y10S-0901/03,16844301,4,23,1,6,4917028001730,GRAY
14/639209,9302398,Robot system for determining operator by biometric authentication,"In a robot system according to the present invention, an operation panel includes a biometric information acquisition unit configured to acquire biometric information of an operator who uses the operation panel. The robot system includes a biometric information storage unit configured to store biometric information of a plurality of operators, an operator determination unit configured to determine an operator who uses the operation panel by matching the biometric information acquired by the biometric information acquisition unit with the biometric information stored by the biometric information storage unit when the operation panel is activated or when a predetermined operation is executed for the operation panel, and a limitation unit configured to individually limit executable functions for the operator determined by the operator determination unit.","1. A robot system comprising: a robot configured to execute an operation according to a manual operation or a control program;a controller configured to control the robot;a portable operation panel configured to transmit to or receive from the controller signals and data,the operation panel comprising a biometric information acquisition unit configured to acquire biometric information of an operator who uses the operation panel, the robot system further comprising:a biometric information storage unit configured to store biometric information of a plurality of operators;an operator determination unit configured to determine, when the operation panel is activated or when a predetermined operation is executed for the operation panel, the operator who uses the operation panel by matching the biometric information acquired by the biometric information acquisition unit with the biometric information stored by the biometric information storage unit; anda limitation unit configured to individually limit executable functions for the operator determined by the operator determination unit.",14/639209,9302398,2015-0273704,2015-03-05,2016-04-05,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0019/06,B25J-0019/06,B25J-0019/06 | B25J-0009/161 | B25J-0009/1656 | B25J-0013/06 | G06F-0021/32 | G05B-2219/24162,16844318,4,12,12,12,4916014001517,GRAY
14/684930,9566707,Robot controller and robot system for moving robot in response to force,"A robot controller for easily moving a desired axis of a robot by applying a force to a front end of the robot, and a robot system including the robot controller. The robot controller has: a force measuring part which measures a force applied to the front end; an operation force calculating part which calculates an operation force for moving each axis based on the measured force; an operation commanding part which outputs a command for moving the robot; and an operation axis specifying part which specifies an operation axis to be moved in response to the force, and determines a direction of movement of the operation axis as a function of a direction of the force. When two or more operation axes are specified, the operation axis specifying part determines as to whether or not each operation axis can be moved, depending on a status of the movement operation.","1. A robot controller for moving a robot having a plurality of axes, the robot controller comprising: a force measuring part configured to measure a force applied to a front end of the robot;an operation force calculating part configured to, based on the force measured by the force measuring part, calculate an operation force for performing movement operation regarding a position of each axis among the plurality of axes of the robot;an operation commanding part configured to output a command for moving the robot; andan operation axis specifying part configured to perform specifying, among the plurality of axes, at least one operation axis to be moved in response to the force, anddetermining a direction of movement of the at least one operation axis as a function of a direction of the force,wherein, when one operation axis is specified by said specifying, the operation axis specifying part is configured to perform judging that the one operation axis is allowed to move in response to the force,wherein, when two or more operation axes are specified by said specifying, the operation axis specifying part is configured to perform judging whether each operation axis among the two or more operation axes is allowed to move in response to the force or whether said each operation axis is not allowed to move even when the force is applied thereto, said judging (1) being based on the direction of the force relative to said each operation axis, and (2) depending on a status of the movement operation, andwherein the operation commanding part is configured to, based on (i) said specifying, said determining and said judging by the operation axis specifying part and (ii) the operation force calculated by the operation force calculating part, output an operation command for moving a position of (a) the one operation axis, when the one operation axis is specified by said specifying, or(b) each operation axis among the two or more operation axes that is judged as allowed to move, when the two or more operation axes are specified by said specifying.",14/684930,9566707,2015-0290796,2015-04-13,2017-02-14,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/0081,B25J-0009/0081,B25J-0009/0081 | B25J-0013/085,16856776,4,29,8,10,4917007001565,GRAY
14/684625,9623567,Robot control device for controlling robot moved according to applied force,"An operation command unit of a robot control device includes a first control mode that, when a near-singular configuration determination unit determines that a robot is not near a singular configuration, outputs an operation command for moving a position and/or a posture of the tip of the robot on the basis of an operation force calculated by a first force calculation unit and a second control mode that, when the near-singular configuration determination unit determines that the robot is near the singular configuration, outputs an operation command for moving the position of an operation axis set by an operation axis setting unit on the basis of an operation force calculated by a second force calculation unit and a moving direction set by the operation axis setting unit.","1. A robot control device of a robot system for moving a robot which includes a plurality of axes, the robot control device comprising: a force measurement unit configured to measure a measured force applied to a tip of the robot;a first force calculation unit configured to calculate a first operation force for performing a first movement operation of at least one of a position and a posture of the tip of the robot on the basis of the measured force;a second force calculation unit configured to calculate a second operation force for performing a second movement operation of a position of each of the plurality of axes of the robot on the basis of the measured force;a near-singular configuration determination unit configured to determine whether or not the robot is near a singular configuration;an operation axis setting unit configured to, according to a current position of each of the plurality of axes when the near-singular configuration determination unit determines that the robot is near the singular configuration, set at least one of (i) a first axis that acts as a factor for being near the singular configuration or (ii) a second axis that is caused to pass through near the singular configuration, as at least one operation axis to be moved according to the measured force, andset a moving direction of the at least one operation axis according to a direction of the measured force; andan operation command unit configured to, in a first control mode when the near singular configuration determination unit determines that the robot is not near the singular configuration, output a first operation command for moving the at least one of the position and the posture of the tip of the robot on the basis of the first operation force calculated by the first force calculation unit, andin a second control mode when the near-singular configuration determination unit determines that the robot is near the singular configuration, output a second operation command for moving a position of the at least one operation axis on the basis of the second operation force calculated by the second force calculation unit and the moving direction set by the operation axis setting unit.",14/684625,9623567,2015-0290798,2015-04-13,2017-04-18,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0013/085,B25J-0013/085,B25J-0013/085 | B25J-0009/0081,16856777,4,17,20,12,4917016001921,GRAY
14/684806,9662790,Robot controller and robot system for moving robot in response to force,"A robot controller and a robot system capable of stably changing the orientation of a front end of a robot by applying a force to the front end, and moving each axis to a desired position. The robot controller for moving the robot based on the force applied to the robot includes a control point specifying part which specifies a control point in relation to the robot, and an operation commanding part which outputs a command so that the robot performs rotational movement about the control point. The robot has a structure constituted by sequentially combining three or more axes including at least three rotation axes, and rotation centerlines of the three rotation axes intersect at an origin of a centerline-intersecting axis, the centerline-intersecting axis corresponding to one of the three rotation axes. The control point specifying part specifies the origin of the centerline-intersecting axis as the control point.","1. A robot controller for moving a position and an orientation of a front end of a robot on an orthogonal coordinate system based on an external force applied to the robot, wherein the robot has a structure constituted by sequentially combining at least six rotation axes comprising three front end-side rotation axes and three pedestal-side rotation axes,without depending on positions of the six rotation axes, rotation centerlines of the three front end-side rotation axes intersect at an origin of a centerline-intersecting axis, the centerline-intersecting axis corresponding to one of the three front end-side rotation axes,the robot includes a pedestal,the three pedestal-side three rotation axes are positioned between the pedestal and one of the three front end-side rotation axes closest to the pedestal, andthe robot is a vertical multi joint robot in which a spatial position of the origin of the centerline-intersecting axis is determined based on positions of the three pedestal-side rotation axes,the robot controller comprising: a force measuring part configured to measure the external force applied to the front end of the robot;a control point specifying part configured to specify the origin of the centerline-intersecting axis as a control point in relation to the robot;a force calculating part configured to calculate an operation force by converting the external force measured by the force measuring part to an output force on a control coordinate system having a control coordinate system origin corresponding to the control point, the operation force being determined so that the orientation of the front end of the robot on the orthogonal coordinate system is changed by rotational movement about the control point, or so that the position and orientation of the front end of the robot on the orthogonal coordinate system are changed by rotational movement about the control point and translational movement of the control point; andan operation commanding part configured to output a command to the robot based on the operation force on the control coordinate system calculated by the force calculating part so that the front end of the robot on the orthogonal coordinate system is rotationally moved about the control point due to movements of the three front end-side rotation axes intersecting at the origin of the centerline-intersecting axis, and so that the front end of the robot on the orthogonal coordinate system is translationally moved by translational movement of the control point due to movements of the three pedestal-side rotation axes.",14/684806,9662790,2015-0290799,2015-04-13,2017-05-30,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/161,B25J-0009/161,B25J-0009/161 | B25J-0009/1694 | G01L-0005/0028 | G01L-0005/0038 | G05B-2219/39439,16856778,4,23,4,3,4917022001641,GRAY
14/684655,9555548,Robot control device for controlling robot moved according to applied force,"A robot control device includes an operation axis setting unit that sets a axis rotationally moved according to an applied force as an operation axis and sets a rotational moving direction of the operation axis; a first operation force acquisition unit that obtains a first virtual force that is virtually applied to the operation axis to assume that the first virtual force is a first operation force; and an operation command unit that outputs an operation command for moving the operation axis set by the operation axis setting unit on the basis of an operation force determined from the first operation force. The operation command unit obtains a target moving direction and a target moving velocity of the operation axis on the basis of the first operation force and the rotational moving direction set by the operation axis setting unit, so as to move the operation axis.","1. A robot control device of a robot system for moving a robot, the robot including a plurality of axes including at least one rotation axis, the robot control device comprising: a force measurement unit configured to measure a measured force applied to a tip of the robot;an operation axis setting unit configured to set an axis that is rotationally moved according to the measured force as an operation axis from among the at least one rotation axis, andset a rotational moving direction of the operation axis according to a direction of the measured force;a first operation force acquisition unit configured to, when a first tip applied force comprises a translational component of the measured force, obtain, on the basis of the first tip applied force, a projected force comprising the translational component of the measured force, wherein the projected force is present on a plane orthogonal to a rotation center line of the operation axis and applied around the rotation center line of the operation axis, andobtain, on the basis of (i) the projected force and (ii) a position vector where the projected force is applied, a first virtual force that is virtually applied to the operation axis, wherein the first virtual force is a first operation force; andan operation command unit configured to output, on the basis of an operation force determined from the first operation force, an operation command for moving the operation axis set by the operation axis setting unit,wherein the operation command unit is configured to obtain a target moving direction and a target moving velocity of the operation axis on the basis of (i) the first operation force and (ii) the rotational moving direction set by the operation axis setting unit, so as to move the operation axis.",14/684655,9555548,2015-0290810,2015-04-13,2017-01-31,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/1694,B25J-0009/1694,B25J-0009/1694 | B25J-0009/1651 | G05B-2219/37357,16856779,4,19,6,14,4917005001702,GRAY
14/686931,10005186,Workpiece conveying device having positioning structure,"A workpiece conveying device capable of correctly positioning and conveying a workpiece that has a burr having an indefinite shape by means of a robot. A robot hand has first and second claws configured to move toward and away from each other. The first claw has a first contacting portion configured to come into contact with a lower surface of the burr, and a first clamping portion arranged at a front end of the first contacting portion and configured to come into contact with a main body of the workpiece. The second claw has a second contacting portion configured to come into contact with the lower surface of the burr, and a second clamping portion arranged at a front end of the second contacting portion and configured to come into contact with the main body. The first and second clamping portions cooperatively position and clamp the main body.","1. A method for gripping and conveying a workpiece having a main body and a burr portion projecting from the main body, by means of a robot having a hand with at least two claws configured to move toward and away from each other, wherein each of the at least two claws has a contacting portion which comes into contact with a lower surface of the burr portion so as to position the workpiece in a vertical direction, and a clamping portion arranged at a front end of the contacting portion, the clamping portion being configured to clamp the main body of the workpiece so as to position the workpiece in a gripping direction of the workpiece, andwherein the method comprises:positioning the workpiece in the vertical direction by contacting the contacting portions with the lower surface of the burr portion;maintaining a vertical position of the workpiece by contacting the contacting portions with the lower surface of the burr portion;gripping the main body of the workpiece at a position below the burr portion of the workpiece with the clamping portions at the same time as maintaining the vertical position of the workpiece with the contacting portions; andpositioning the workpiece in the gripping direction of the workpiece.",14/686931,10005186,2015-0306773,2015-04-15,2018-06-26,Fanuc Corporation,FANUC CORPORATION,JP,B25J-0015/0028,B25J-0015/0028,B25J-0015/0028 | B21J-0013/10 | B25J-0009/1679 | B25J-0015/0061 | B25J-0015/0253 | B25J-0015/086 | B25J-0019/023,16857836,4,13,3,5,4918026001666,GRAY
14/698322,9682478,Safety monitoring device for robot gripping and carrying workpiece,"A safety monitoring device monitoring a robot includes a workpiece parameter switching unit switching a workpiece parameter, an external force estimation unit estimating, as an external force estimation value, a force acting on the robot from an external environment by using the workpiece parameter, an external force monitoring unit stopping the robot when the external force estimation value satisfies an external force determination condition, an operation monitoring unit stopping the robot, based on conditions such as a position of the robot being included within a predetermined region, an operation monitoring state switching unit switching between a disabling command and an enabling command for the operation monitoring unit, and an external force determination condition setting unit switching the external force determination condition to an operation monitoring disabling time external force determination condition at the disabling command and to an operation monitoring enabling time external force determination condition at the enabling command.","1. A safety monitoring method for monitoring a robot provided with a force detection unit for detecting an external force acting on the robot, the robot safety monitoring method comprising: utilizing a safety monitoring device comprising: a workpiece parameter switching unit for switching a workpiece parameter including at least one of a mass, a center of mass, and an inertia matrix of a workpiece to be gripped by the robot;an external force estimation unit configured to estimate, as an external force estimation value, a force or a torque acting on the robot from an external environment by using the switched workpiece parameter;an external force monitoring unit configured to stop the robot when the external force estimation value satisfies an external force determination condition;an operation monitoring unit configured to stop the robot when at least one of the following conditions is not satisfied: a position of the robot is included within a predetermined region, a moving direction of the robot is a predetermined direction, an operation speed of the robot is equal to or slower than a predetermined speed, and an operation acceleration of the robot is equal to or smaller than a predetermined acceleration;an operation monitoring state switching unit configured to switch between an operation monitoring disabling command operation monitoring enabling command andan external force determination condition setting unit configured to switch the external force determination condition to an operation monitoring disabling time external force determination condition when the operation monitoring state switching unit is switched to the operation monitoring disabling command;wherein external force determination condition setting unit is further configured to switch the external force determination condition to an operation monitoring enabling time external force determination condition when the enabling command;switching the workpiece parameter including at least one of the mass, the center of mass, and the inertia matrix of the workpiece to be gripped by the robot;estimating, as the external force estimation value, the force or the torque acting on the robot from the external environment by using the switched a workpiece parameter;stopping the robot when the external force estimation value satisfies the external force determination condition;stopping the robot when at least one of the following conditions is not satisfied: the position of the robot is included within the predetermined region,the moving direction of the robot is the determined direction, the operation speed of the robot is equal to or slower than the predetermined speed, and the operation acceleration of the robot is equal to or smaller than the predetermined acceleration;switching between the operation monitoring disabling command and the operation monitoring enabling command;switching the external force determination condition to the operation monitoring disabling time external force determination condition when the operation monitoring state switching unit is switched to the operation monitoring disabling command; andswitching the external force determination condition to the operation monitoring enabling time external force determination condition when the operation monitoring state switching unit is switched to the operation monitoring enabling command.",14/698322,9682478,2015-0314445,2015-04-28,2017-06-20,Fanuc Corporation,FANUC CORPORATION,JP,B25J-0009/1674,B25J-0009/1674,B25J-0009/1674 | B25J-0009/1676 | G05B-2219/40582,16861442,4,27,14,4,4917025001405,GRAY
14/693939,9676099,Control device for performing flexible control of robot,"A robot control device adapted for performing flexible control includes: an operation state monitoring unit for determining the operation state of the robot on the basis of outputs from a position detecting unit for detecting positions of respective shafts of a robot, a force detecting unit for detecting forces of respective shafts of the robot or a time measuring unit for measuring time; a storage unit for storing a plurality of parameter sets indicating flexibility of the flexible control; and an operation generating unit for switching the parameter sets each indicating flexibility on the basis of an output from the operation state monitoring unit at the time of executing the flexible control.","1. A robot control device for performing a flexible control to realize flexibility of a force exerted between a tool of a robot and a workpiece in a direction defined by a tool coordinate system having a predetermined positional attitude relationship with respect to a mechanical interface or an end effector of the robot, or a task coordinate system having a predetermined positional attitude relationship with respect to a robot base coordinate system, the robot control device comprising: a position sensor configured to detect a position of a respective shaft of the robot;a processor configured to determine an operation state of the robot on the basis of output from the position sensor for detecting the position of the respective shaft of the robot, ora timer that measures time; anda storage storing a plurality of parameter sets all of which indicate flexibility of the flexible control, said plurality of parameter sets corresponding to a plurality of flexible control modes,wherein, in executing the flexible control in accordance with each parameter set among the plurality of parameter sets, the processor is configured to control the robot to move to follow movement of the workpiece in at least one direction to an extent defined by said each parameter set, said movement of the workpiece being caused by a device other than the robot, andwherein the processor is configured to switch among the plurality of parameter sets on the basis of the determined operation state of the robot during executing the flexible control.",14/693939,9676099,2015-0314441,2015-04-23,2017-06-13,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/1633,B25J-0009/1633,B25J-0009/1633 | B25J-0013/085 | B25J-0013/088 | G05B-2219/39346 | G05B-2219/42123,16861445,4,19,3,10,4917024001763,GRAY
