record_id,등록번호,발명의 명칭,출원인,출원인_norm,출원인_그룹,출원인_국적1,출원일,WIPS패밀리 ID,Current CPC Main,relevance_score,candidate_type,label_v1,gold_v1_1,adjust
15/241231,9855656,Robot control device for controlling motor-driven robot,FANUC CORPORATION,FANUC,FANUC,JP,2016-08-19,17096315,B25J-0009/1628,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/073564,10173330,Robot arm,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2016-03-17,17086182,B25J-0019/0062,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/662724,10350754,Control device for robot,DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP,2017-07-28,17287456,B25J-0009/1633,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/485739,11267122,"Robot control device, robot system, and method of controlling robot",KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2018-02-09,17350365,B25J-0009/1674,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/913981,10695909,Robot system and robot control method,FANUC CORPORATION,FANUC,FANUC,JP,2018-03-07,17365278,B25J-0009/1676,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/941608,10836037,Control device and robot system,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2018-03-30,17382822,B25J-0009/1628,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/181823,11413759,"Robot apparatus, control method for controlling the same, non-transitory computer-readable recording medium, manufacturing system, and method for manufacturing an article",Canon Kabushiki Kaisha,CANON,CANON,JP,2018-11-06,17490480,B25J-0009/1694,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/093651,11613004,"Deflection amount estimating device, robot control device and method of estimating amount of deflection",KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2020-11-10,17569648,B25J-0009/1065,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/597170,12103179,"Method of controlling robot body, method of manufacturing product, robot apparatus, and recording medium",Canon Kabushiki Kaisha,CANON,CANON,JP,2019-10-09,17636739,B25J-0009/1612,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/576446,11478934,Method and apparatus for controlling robot,DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP,2019-09-19,17624944,B25J-0009/1674,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/724505,11312013,Robot system and robot control method,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2019-12-23,17672034,B25J-0009/161,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/825253,11691288,Robot control system,FANUC CORPORATION,FANUC,FANUC,JP,2020-03-20,17714936,B25J-0009/1674,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/816442,11623340,"Robot system, control apparatus, and control method",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,미상,2020-03-12,17705915,B25J-0009/04,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/829103,11465280,"Robot control device, robot control method, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2020-03-25,17714942,B25J-0009/1628,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/463616,11958199,Robot control device and robot system,SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2021-09-01,17935811,B25J-0009/1674,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/582403,11745362,"Robot, attachment method, and detachment method",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,미상,2022-01-24,85712330,B25J-0015/0009,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/590923,12179368,Robot control device and robot system,SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-02-02,87109771,B25J-0009/1674,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/010810,12220821,Robot control device,MITSUBISHI ELECTRIC CORPORATION,MITSUBISHI ELECTRIC,MITSUBISHI ELECTRIC,JP,2020-09-14,87320147,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/108044,11890760,Balancer abnormality detection system and balancer abnormality detection method,FANUC CORPORATION,FANUC,FANUC,JP,2020-12-01,101264149,B25J-0009/1674,0.8,positive,GRAY,False,제외:오탐사전(밸런서·NC 등)
18/001232,12257720,Robot control device,FANUC CORPORATION,FANUC,FANUC,JP,2021-07-01,101789464,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/414021,11207780,"Path planning apparatus, path planning method, and path planning program",OMRON Corporation,OMRON,OMRON,JP,2019-05-16,102266984,B25J-0009/1666,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/791173,12350844,Control system,FANUC CORPORATION,FANUC,FANUC,JP,2021-01-06,102486942,B25J-0009/1694,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/718354,12138791,"Robot control system, lower-level control apparatus, and control method for robot",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-04-12,102495733,B25J-0009/161,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/908107,12275151,Robot control system and control method,OMRON CORPORATION,OMRON,OMRON,JP,2020-12-17,103110929,B25J-0009/1658,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/001448,12290931,Robot controller,FANUC CORPORATION,FANUC,FANUC,JP,2021-07-27,103141039,B25J-0009/1653,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/935595,10946517,Robot control device and robot system,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2018-03-26,107651879,B25J-0009/1641,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/164631,12377543,Path planning during execution of robot control,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2023-02-06,109328129,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/969718,12564950,"Robot control method, robot control system, and robot control program",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-10-20,112709824,B25J-0009/1661,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/128399, ,METHOD AND APPARATUS FOR IMPROVED SAMPLING-BASED GRAPH GENERATION FOR ONLINE PATH PLANNING BY A ROBOT,OMRON CORPORATION,OMRON,OMRON,JP,2023-03-30,113043749,B25J-0009/1666,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/188217,12343875,System and method for controlling an operation of a manipulation system,"Mitsubishi Electric Research Laboratories, Inc.",MITSUBISHI ELECTRIC RESEARCH LABORATORIES,MITSUBISHI ELECTRIC,US,2023-03-22,113044324,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/324527,12583110,Robot control system,DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP,2023-05-26,113416915,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/706526,12605833,Robot system and robot,KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2021-12-22,114262799,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/003183,11541535,Robot control device,FANUC CORPORATION,FANUC,FANUC,JP,2020-08-26,114356162,B25J-0009/1651,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/264543,12611773,"Robot control device, robot control system, and non-transitory computer-readable medium storing a computer program",FANUC CORPORATION,FANUC,FANUC,JP,2022-02-14,114472901,B25J-0009/1666,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/879482,12678949,Robot control device,FANUC CORPORATION,FANUC,FANUC,JP,2022-09-20,116709548,B25J-0009/1653,0.8,positive,E_auto,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/206933,10150215,Robot control device and robot,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2016-07-11,4907207,B25J-0009/1641,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
14/691013,9409293,Robot,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2015-04-20,4795769,B25J-0009/1694,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/012886,11090807,"Motion generation method, motion generation device, system, and computer program",OMRON Corporation,OMRON,OMRON,JP,2018-06-20,5284006,B25J-0009/1666,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/413065,11426868,"Operation device, control system, control method, and non-transitory computer-readable storage medium",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2019-05-15,5391918,B25J-0009/163,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/253486,12036677,Method and system for transferring an end effector of a robot between one end effector pose and a further end effector pose,KUKA DEUTSCHLAND GMBH,KUKA DEUTSCHLAND,KUKA,DE,2019-06-12,5537240,B25J-0009/1643,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/058706,10399222,Robot,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2016-03-02,16535448,B25J-0009/1651,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/014274,9895800,"Robot, robot control device, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2016-02-03,16686411,B25J-0009/1628,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/671652,9999974,Robot,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2017-08-08,16777215,B25J-0009/1641,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/476808,10363660,"Robot system controlling method, program, recording medium, robot system, and diagnosis apparatus",Canon Kabushiki Kaisha,CANON,CANON,JP,2017-03-31,16868953,B25J-0009/1676,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/267478,10189164,"Robot, control device, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2016-09-16,17107454,B25J-0013/088,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/246634,10105848,Machine that stops movement of member on drive axis due to abnormality in brake,FANUC CORPORATION,FANUC,FANUC,JP,2016-08-25,17100262,B25J-0009/1674,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/297258,10022879,Robot controller which records state of occurrence of emergency stop of robot,FANUC CORPORATION,FANUC,FANUC,JP,2016-10-19,17142491,B25J-0019/06,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/076642,11123883,Work robot,KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2017-02-07,17174425,B25J-0019/06,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/117448,10569419,Control device and robot system,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2018-08-30,17446679,B25J-0009/1697,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/131485,10611032,Measurement system,Fanuc Corporation,FANUC,FANUC,JP,2018-09-14,17459214,B25J-0009/1692,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/180166,11110602,Robot control device and robot system,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2018-11-05,17479239,B25J-0009/1664,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/154190,10744645,Measurement system,FANUC CORPORATION,FANUC,FANUC,JP,2018-10-08,17469898,B25J-0009/1692,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/353245,11161256,Robot gravity balancer and robot,FANUC CORPORATION,FANUC,FANUC,JP,2019-03-14,17564095,B25J-0019/0016,0.75,positive,GRAY,False,제외:오탐사전(밸런서·NC 등)
17/265073,11878423,Robot system,KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2019-07-30,17604865,B25J-0009/1664,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/666623,11738469,"Control apparatus, robot system, and control method",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,미상,2019-10-29,17645267,B25J-0013/06,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/667963,11312008,"Robot system, robot, robot control device, robot control method, and encoder",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2019-10-30,17645292,B25J-0009/102,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/797132,11590648,"Robot system, control apparatus, and control method",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,미상,2020-02-21,17692844,B25J-0009/12,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/097127,11738458,Control method for robot system,SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,미상,2020-11-13,17816532,B25J-0009/162,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/105526,11752630,Speed control method for robot to which one of a plurality of end effectors is detachably attachable and robot system including robot to which one of a plurality of end effectors is detachably attachable,SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2020-11-26,17820514,B25J-0009/1674,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/807574,10836042,Robot system,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2017-11-09,20799859,B25J-0009/1676,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/814756,10987800,Rotary supplemental axis for robot,ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH,2017-11-16,28395806,B25J-0009/102,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/614045,11221642,Manipulating device,KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2018-05-15,85429667,B25J-0009/0051,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/412921,11173600,"Operation device, control system, control method, and non-transitory computer-readable storage medium",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2019-05-15,87792570,B25J-0009/161,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/392673,11167413,"Robot control apparatus, robot, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2019-04-24,92912274,B25J-0009/104,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/767058,11992951,"Control method, control device, robot system, program, and recording medium",KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2020-10-07,92922091,B25J-0009/1664,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/672756,12162163,Robot monitoring apparatus and robot system,SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-02-16,100733978,B25J-0009/1676,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/708335,12290942,"Method for controlling robot, robot system, and storage medium",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-03-30,101265810,B25J-0009/1633,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/708258,12194633,"Method for controlling robot, robot system, and storage medium",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-03-30,101883601,B25J-0009/1638,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/015176,12070855,Robot,FANUC CORPORATION,FANUC,FANUC,JP,2021-08-27,102298847,B25J-0009/0009,0.75,positive,GRAY,False,제외:오탐사전(밸런서·NC 등)
18/246874,12377547,"Control device, robot, control method, and program",OMRON CORPORATION,OMRON,OMRON,JP,2021-09-03,103014515,B25J-0009/1694,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/758869,12454061,"System and method for operating the robot, electronic device and computer readable medium",ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH,2020-01-22,106706887,B25J-0009/1697,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/708142,12162168,"Method for controlling robot, robot system, and storage medium",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-03-30,106784538,B25J-0009/044,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/758632,12134195,"Control device for robot, robot system, control method, and program",FANUC CORPORATION,FANUC,FANUC,JP,2021-01-12,108474489,B25J-0009/1664,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/758962,12564945,"System and method for controlling the robot, electronic device and computer readable medium",ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH,2020-01-22,112709819,B25J-0009/163,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/547456,12564961,"Information processing device, information processing method, and program",OMRON CORPORATION,OMRON,OMRON,JP,2021-12-20,112709835,B25J-0009/1676,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/278096,12454060,Control device,FANUC CORPORATION,FANUC,FANUC,JP,2022-03-22,113728807,B25J-0009/1694,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/832564,11712806,Calibration apparatus for calibrating mechanism error parameter for controlling robot,Fanuc Corporation,FANUC,FANUC,JP,2020-03-27,113805119,B25J-0009/1692,0.75,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
14/854088,9782898,Robot controller for avoiding problem regarding robot at the time of emergency stop,FANUC CORPORATION,FANUC,FANUC,JP,2015-09-15,16931823,B25J-0009/1676,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
14/990115,9636823,Robot control device for updating rotation angle by plurality of rotation angle detectors,Fanuc Corporation,FANUC,FANUC,JP,2016-01-07,16982409,B25J-0009/1664,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/788171,10792808,Robot and robot system,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2017-10-19,17312868,B25J-0009/161,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/954949,10882189,Control device and robot system,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2018-04-17,17386730,B25J-0009/1692,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/140729,11305438,"Robot control device, robot, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2018-09-25,17459234,B25J-0019/0029,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/142669,10807247,Robot operation apparatus,FANUC CORPORATION,FANUC,FANUC,JP,2018-09-26,17486315,B25J-0013/02,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/369037,11518023,"Control device, robot, and robot system",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2019-03-29,17554762,B25J-0009/161,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/386350,10987802,Control device,FANUC CORPORATION,FANUC,FANUC,JP,2019-04-17,17566752,B25J-0009/161,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/560717,12172308,Method of determining control position of robot and robot system,SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2021-12-23,86131856,B25J-0009/1602,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/683675,11376747,Robot controller and robotic system,FANUC CORPORATION,FANUC,FANUC,JP,2019-11-14,86439549,B25J-0015/04,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/679156,12138799,"Robot control system, robot controller, and robot control method",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2022-02-24,86709420,B25J-0009/1656,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/275315,12090666,"Path generation device, path generation method, and recording medium storing path generation program",OMRON CORPORATION,OMRON,OMRON,JP,2019-11-27,87332353,B25J-0009/1666,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/704213,11130224,Parallel link robot,FANUC CORPORATION,FANUC,FANUC,JP,2019-12-05,86338251,B25J-0009/0072,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/588622,12240116,"Method of adjusting motion parameter, storage medium, and robot system",SEIKO EPSON CORPORATION,SEIKO EPSON,SEIKO EPSON,JP,2022-01-31,87927576,B25J-0009/163,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/013971,11679502,Robot control system,FANUC CORPORATION,FANUC,FANUC,JP,2020-09-08,89771451,B25J-0009/1666,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/109480,12337482,Path generation device and method,OMRON Corporation,OMRON,OMRON,JP,2023-02-14,101691729,B25J-0009/1664,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/005442,11897137,Method of identifying robot model automatically and safely,ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH,2020-08-28,101939461,B25J-0009/1653,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/090195,11911900,Robot controller and robot control method,FANUC CORPORATION,FANUC,FANUC,JP,2020-11-05,103848947,B25J-0009/1602,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
18/002434,12311542,Robot system,FANUC CORPORATION,FANUC,FANUC,JP,2021-07-27,105307113,B25J-0009/10,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/049019,12434384,Method and control system for controlling movement trajectories of a robot,ABB Schweiz AG,ABB SCHWEIZ,ABB,CH,2018-04-25,106181859,B25J-0009/1664,0.7,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
