출원번호,등록번호,출원일,발명의 명칭,출원인,출원인_norm,출원인_그룹,출원인_국적1,WIPS패밀리 ID,_패밀리내건수,Current CPC Main,label_v1,label_source,신호_휴머노이드,신호_Tier,신호_제외_수술,신호_제외_외골격,신호_제외_청소,신호_제외_물류전용,신호_제외_완구,_결함
15/617475,9914221,2017-06-08,Teleoperation of machines having at least one actuated mechanism and a fault detection and recovery system,ABB Schweiz AG,ABB SCHWEIZ,ABB,CH,4945999,1,B25J-0009/1689,GRAY,,False,True,False,False,False,False,False,
14/805080,9656387,2015-07-21,Human augmentation of robotic work,International Electronic Machines Corp.,INTERNATIONAL ELECTRONIC MACHINES,INTERNATIONAL ELECTRONIC MACHINES,US,4948274,1,B25J-0009/16,GRAY,,False,True,False,False,False,False,False,
14/678672,9533416,2015-04-03,Method for commanding a multi-axis robot and robot for implementing such a method,STAUBLI FAVERGES,STAUBLI FAVERGES,STAUBLI FAVERGES,FR,4949424,1,B25J-0009/1651,GRAY,,False,True,False,False,False,False,False,
14/728526,9827676,2015-06-02,Robot module,LIEBHERR-VERZAHNTECHNIK GMBH,LIEBHERR-VERZAHNTECHNIK,LIEBHERR-VERZAHNTECHNIK,DE,4964420,1,B25J-0009/1679,GRAY,,False,False,False,False,False,False,False,
14/802418,10016894,2015-07-17,Method and apparatus for controlling a robot,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,4979346,1,B25J-0009/1674,GRAY,,False,False,False,False,False,False,False,
14/812816,9950429,2015-07-29,Robot cleaning system and method of controlling robot cleaner,LG ELECTRONICS INC.,LG ELECTRONICS,LG,KR,4981856,1,B25J-0009/1664,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
14/831543,9579787,2015-08-20,Method of programming an industrial robot and industrial robots,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,4986852,1,B25J-0009/0081,GRAY,,False,True,False,False,False,False,False,
14/842561,10434655,2015-09-01,Robot apparatus and method for controlling robot apparatus,Canon Kabushiki Kaisha,CANON,CANON,JP,4990227,1,B25J-0009/1697,GRAY,,False,True,False,False,False,False,False,
14/835725,10525594,2015-08-26,"Teaching system, robot system, and teaching method",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,4990527,1,B25J-0009/1676,GRAY,,False,True,False,False,False,False,False,
14/966778,10071476,2015-12-11,Device with improved actuating means and method for use thereof,SKEL-EX HOLDING B.V.,SKEL-EX,SKEL-EX,NL,5001694,1,B25J-0009/0006,GRAY,,False,True,False,True,False,False,False,
14/933168,10005185,2015-11-05,Flexible cycle time-optimized sharing of a working space for robots,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5007497,1,B25J-0009/1682,GRAY,,False,True,False,False,False,False,False,
14/935935,10029368,2015-11-09,Domestic robotic system and method,F ROBOTICS ACQUISITIONS LTD.,F ROBOTICS ACQUISITIONS,F ROBOTICS ACQUISITIONS,IL,5007732,1,B25J-0009/1666,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
14/929565,9943968,2015-11-02,Method and system for stopping of axes of an industrial robot,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5007892,1,B25J-0019/0004,GRAY,,False,False,False,False,False,False,False,
14/930529,9616564,2015-11-02,Event-based redundancy angle configuration for articulated-arm robots,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5007906,1,B25J-0009/06,GRAY,,False,True,False,False,False,False,False,
14/930850,9821462,2015-11-03,Method for disconnecting a manual control unit from a multi-axis robot and robot for implementing such a method,STAUBLI FAVERGES,STAUBLI FAVERGES,STAUBLI FAVERGES,FR,5011186,1,B25J-0009/1674,GRAY,,False,False,False,False,False,False,False,
14/942711,10029366,2015-11-16,"Control device for motor drive device, control device for multi-axial motor, and control method for motor drive device",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5011300,2,B25J-0009/126,GRAY,,False,True,False,False,False,False,False,
14/874699,10780580,2015-10-05,Teaching apparatus used for operation of industrial robot,"Kobe Steel, Ltd.",KOBE STEEL,KOBE STEEL,JP,5014762,1,B25J-0009/1656,GRAY,,False,True,False,False,False,False,False,
14/953223,9827675,2015-11-27,"Collision avoidance method, control device, and program",TOYOTA JIDOSHA KABUSHIKI KAISHA,TOYOTA JIDOSHA,TOYOTA,JP,5017302,1,B25J-0009/1666,GRAY,,False,True,False,False,False,False,False,
14/959456,9815200,2015-12-04,Safe robot with trajectory progress variables,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5021195,1,B25J-0009/1664,GRAY,,False,True,False,False,False,False,False,
15/005481,9914219,2016-01-25,Robot cleaner and controlling method thereof,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG ELECTRONICS,SAMSUNG,KR,5028180,1,B25J-0011/0085,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
15/002394,10016893,2016-01-20,Robot hand controlling method and robotics device,CANON KABUSHIKI KAISHA,CANON,CANON,JP,5032083,1,B25J-0009/1612,GRAY,,False,True,False,False,False,False,False,
15/954544,10857671,2018-04-16,Robot,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,5039342,1,B25J-0009/12,GRAY,,False,True,False,False,False,False,False,
15/051002,9902065,2016-02-23,Altering an initially predetermined robot path,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5040651,1,B25J-0009/1664,GRAY,,False,False,False,False,False,False,False,
15/058904,10144132,2016-03-02,"Robot controlling method, robot apparatus, program and recording medium",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5041161,1,B25J-0009/1692,GRAY,,False,True,False,False,False,False,False,
15/067686,10335959,2016-03-11,Joint driving apparatus and robot apparatus,Canon Kabushiki Kaisha,CANON,CANON,JP,5041443,1,B25J-0017/00,GRAY,,False,True,False,False,False,False,False,
15/068956,10625431,2016-03-14,Robot and method for mounting balancer to robot,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,5043379,1,B25J-0019/0012,GRAY,,False,True,False,False,False,False,False,
15/084705,10279474,2016-03-30,Method for improving operation of a robot,HONDA RESEARCH INSTITUTE EUROPE GMBH,HONDA RESEARCH INSTITUTE EUROPE,HONDA,DE,5046604,1,B25J-0009/163,GRAY,,False,True,False,False,False,False,False,
15/078380,10239206,2016-03-23,"Robot controlling method, robot apparatus, program and recording medium",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5048906,1,B25J-0009/1638,GRAY,,False,True,False,False,False,False,False,
15/097639,9981378,2016-04-13,Handheld robot operation unit with an adapter device for a mobile terminal device,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5051105,1,B25J-0009/161,GRAY,,False,True,False,False,False,False,False,
15/097602,10099383,2016-04-13,Handheld robot operation unit and corresponding method,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5051106,1,B25J-0013/02,GRAY,,False,True,False,False,False,False,False,
15/252355,10124490,2016-08-31,Autonomous mobile robot,iRobot Corporation,IROBOT,IROBOT,US,5057935,1,B25J-0009/1694,GRAY,,False,False,False,False,False,False,False,
15/134730,10011011,2016-04-21,Information processing method and information processing apparatus,CANON KABUSHIKI KAISHA,CANON,CANON,JP,5059088,2,B25J-0009/161,GRAY,,False,False,False,False,False,False,False,
15/170034,10071483,2016-06-01,"Robot, robot control apparatus, robot control method, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,5064475,1,B25J-0009/1687,GRAY,,False,True,False,False,False,False,False,
15/176676,9999975,2016-06-08,"Method and system for operating and/or monitoring a machine, in particular a robot",KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5065788,1,B25J-0009/1666,GRAY,,False,True,False,False,False,False,False,
15/235141,10035267,2016-08-12,Robot system and method for controlling a robot system,ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH,5066289,1,B25J-0009/1676,GRAY,,False,True,False,False,False,False,False,
15/190343,10350765,2016-06-23,Switching a control of a robot into a manual operating mode,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5069452,1,B25J-0013/085,GRAY,,False,True,False,False,False,False,False,
15/176799,10059004,2016-06-08,"Robot, information processing system, and storage medium","Ricoh Company, Ltd.",RICOH,RICOH,JP,5069652,1,B25J-0009/1697,GRAY,,False,False,False,False,False,False,False,
15/123394,10226869,2015-03-02,Haptic virtual fixture tools,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,US,5073498,1,B25J-0009/1689,GRAY,,False,True,False,False,False,False,False,
15/208668,10576629,2016-07-13,Controlling a compliant-controlled robot,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5075569,1,B25J-0009/1633,GRAY,,False,False,False,False,False,False,False,
14/833660,9630315,2015-08-24,Robot with hot-swapped end effectors,"RETHINK ROBOTICS, INC.",RETHINK ROBOTICS,RETHINK ROBOTICS,US,5087627,3,B25J-0009/1646,GRAY,,False,False,False,False,False,False,False,
14/699715,9579799,2015-04-29,Robotic control system using virtual reality input,Coleman P. Parker,COLEMAN P PARKER,COLEMAN P PARKER,US,5089013,1,B25J-0009/1689,GRAY,,False,True,False,False,False,False,False,
15/307841,10239201,2015-04-28,Master-slave system,MUSCLE CORPORATION,MUSCLE,MUSCLE,JP,5089050,1,B25J-0003/00,GRAY,,False,True,False,False,False,False,False,
15/309146,10537996,2015-05-05,Control of swarming robots,GEORGIA TECH RESEARCH CORPORATION,GEORGIA TECH RESEARCH,GEORGIA TECH RESEARCH,US,5090899,1,B25J-0009/1682,GRAY,,False,False,False,False,False,False,False,
15/275961,10201897,2016-09-26,Method for controlling robot and robot system,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,5095193,1,B25J-0009/1682,GRAY,,False,False,False,False,False,False,False,
15/258815,10272568,2016-09-07,"Robot apparatus, robot controlling method, program, recording medium, and assembly manufacturing method",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5095260,1,B25J-0009/1633,GRAY,,False,True,False,False,False,False,False,
15/315318,10022866,2015-05-26,Robot control device,"KABUSHIKI KAISHA KOBE SEIKO SHO (KOBE STEEL, LTD.)",KOBE SEIKO SHO (KOBE STEEL ),KOBE SEIKO SHO (KOBE STEEL ),JP,5097145,1,B25J-0009/1633,GRAY,,False,True,False,False,False,False,False,
15/320310,10286547,2015-06-19,Robot control system,OMRON CORPORATION,OMRON,OMRON,JP,5102648,1,B25J-0009/0084,GRAY,,False,True,False,False,False,False,False,
14/937061,10052766,2015-11-10,Automatic in-situ registration and calibration of robotic arm/sensor/workspace system,"MICROSOFT TECHNOLOGY LICENSING, LLC",MICROSOFT TECHNOLOGY LICENSING,MICROSOFT TECHNOLOGY LICENSING,US,5104420,1,B25J-0009/1692,GRAY,,False,True,False,False,False,False,False,
15/005362,9522471,2016-01-25,Virtual safety cages for robotic devices,X DEVELOPMENT LLC,X DEVELOPMENT,ALPHABET,US,5109928,2,B25J-0009/1676,GRAY,,False,True,False,False,False,False,False,
15/351778,10239207,2016-11-15,Control of a robot,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5110753,1,B25J-0009/1651,GRAY,,False,True,False,False,False,False,False,
15/522235,10654174,2015-10-28,Universal end of arm robot tool,FESTO SE & CO. KG | FESTO CORPORATION,FESTO & CO KG,FESTO & CO KG,DE,5123712,1,B25J-0015/0061,GRAY,,False,False,False,False,False,False,False,
15/413689,10207406,2017-01-24,"Robot trajectory generation method, robot trajectory generation apparatus, product fabrication method, recording medium, program, and robot system",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5128079,2,B25J-0009/1666,GRAY,,False,True,False,False,False,False,False,
15/410763,10335949,2017-01-19,System for operating mobile robot based on complex map information and operating method thereof,"YUJIN ROBOT CO., LTD.",YUJIN ROBOT,YUJIN ROBOT,KR,5128280,1,B25J-0009/1689,GRAY,,False,False,False,False,False,False,False,
15/518880,10384343,2015-10-14,Modular robotic finger for grasping and dexterous handling,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) | UNIVERSITE DE POITIERS,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),FR,5134885,1,B25J-0009/104,GRAY,,False,True,False,False,False,False,False,
15/443181,10040193,2017-02-27,"Motor control system, robot system, and communication method for motor control system",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,5138123,1,B25J-0009/126,GRAY,,False,False,False,False,False,False,False,
16/081763,11338434,2017-02-24,Controlling process of robots having a behavior tree architecture,MAGAZINO GMBH,MAGAZINO,MAGAZINO,DE,5139604,1,B25J-0009/163,GRAY,,False,False,False,False,False,False,False,
15/017099,10065316,2016-02-05,Systems and methods for safe robot operation,"RETHINK ROBOTICS, INC.",RETHINK ROBOTICS,RETHINK ROBOTICS,US,5141534,1,B25J-0009/1676,GRAY,,False,True,False,False,False,False,False,
15/221081,10513038,2016-07-27,Robot control system,"FUJI XEROX CO., LTD.",FUJI XEROX,FUJI XEROX,JP,5143288,1,B25J-0011/0005,T1_auto,휴머노이드명시/전건T1_OEM,True,False,False,False,False,False,False,
15/535718,10675771,2015-12-15,Industrial robot and method for moving a robot arm in a clean room,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5153098,1,B25J-0019/0075,GRAY,,False,True,False,False,False,False,False,
15/289864,9868207,2016-10-10,Generating robotic grasping instructions for inventory items,"Amazon Technologies, Inc.",AMAZON TECHNOLOGIES,AMAZON,US,5153248,3,B25J-0009/1602,GRAY,,False,True,False,False,False,True,False,
15/474130,10335948,2017-03-30,Abnormality determining device and abnormality determining method,TOYOTA JIDOSHA KABUSHIKI KAISHA,TOYOTA JIDOSHA,TOYOTA,JP,5157478,1,B25J-0009/1674,GRAY,,False,False,False,False,False,False,False,
15/586339,10500729,2017-05-04,Fenceless industrial robot system,OpiFlex Automation AB,OPIFLEX AUTOMATION,OPIFLEX AUTOMATION,SE,5159338,1,B25J-0009/1676,GRAY,,False,True,False,False,False,False,False,
15/549889,10766139,2015-02-13,Method for avoiding collisions between two robots,ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH,5167996,1,B25J-0009/1676,GRAY,,False,True,False,False,False,False,False,
15/549829,10688652,2016-02-15,"Robot cleaner, remote control system including the same, and control method thereof",LG ELECTRONICS INC.,LG ELECTRONICS,LG,KR,5170921,1,B25J-0009/0003,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
15/617699,10702989,2017-06-08,"Method of controlling robot apparatus, robot apparatus, and method of manufacturing article",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5171335,1,B25J-0009/1666,GRAY,,False,True,False,False,False,False,False,
15/196510,10118297,2016-06-29,Analysis of end effector operations by a robot,The Boeing Company,THE BOEING,THE BOEING,US,5173942,1,B25J-0009/1692,GRAY,,False,False,False,False,False,False,False,
15/553358,10259122,2016-03-04,Compliant adaptive robot grasper,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,US,5175216,1,B25J-0015/022,GRAY,,False,True,False,False,False,False,False,
14/660161,9649766,2015-03-17,Systems and methods to facilitate human/robot interaction,"AMAZON TECHNOLOGIES, INC.",AMAZON TECHNOLOGIES,AMAZON,US,5178608,2,B25J-0009/1666,GRAY,,False,True,False,False,False,True,False,
15/647350,10456913,2017-07-12,Method and apparatus for controlling a robot movement of a robot on the basis of a second trajectory,SIEMENS AKTIENGESELLSCHAFT,SIEMENS,SIEMENS,DE,5179417,1,B25J-0009/1664,GRAY,,False,True,False,False,False,False,False,
15/078966,10173328,2016-03-23,Soft robotic actuators and methods of manufacturing the same,"SOFT ROBOTICS, INC.",SOFT ROBOTICS,SOFT ROBOTICS/OXIPITAL,US,5181348,2,B25J-0015/0023,GRAY,,False,True,False,False,False,False,False,
15/656332,10363661,2017-07-21,"Control device, robot, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,5182197,1,B25J-0009/1687,GRAY,,False,False,False,False,False,False,False,
15/719243,10786904,2017-09-28,"Method for industrial robot commissioning, industrial robot system and control system using the same",ABB Schweiz AG,ABB SCHWEIZ,ABB,CH,5182355,2,B25J-0009/1692,GRAY,,False,True,False,False,False,False,False,
16/323176,11345018,2017-08-11,Programmable robot for educational purposes,KUBO ROBOTICS APS,KUBO ROBOTICS,KUBO ROBOTICS,DK,5184785,1,B25J-0009/0003,GRAY,,False,True,False,False,False,False,False,
15/572751,10518412,2016-05-10,Robot behavior generation method,NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TEHCHNOLOGY,NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TEHCHNOLOGY,NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TEHCHNOLOGY,JP,5194789,1,B25J-0009/1664,T1_auto,휴머노이드명시/전건T1_OEM,True,False,False,False,False,False,False,
15/570581,10780584,2016-05-19,Remotely operated manual welding method and welding robot implementing such a method,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,FR,5196463,1,B25J-0009/1689,GRAY,,False,True,False,False,False,False,False,
15/576657,10279469,2016-05-20,Multi-motion-platform parallel robot construction method and parallel robots for same,"HAN, FANYUAN | BEIJING FINE WAY TECHNOLOGY CO., LTD.",HAN FANYUAN,HAN FANYUAN,CN,5200713,1,B25J-0009/003,GRAY,,False,False,False,False,False,False,False,
15/739543,10828777,2016-06-07,Method for the redundancy-optimized planning of the operation of a mobile robot,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5206905,1,B25J-0009/1664,GRAY,,False,True,False,False,False,False,False,
15/194283,10112310,2016-06-27,Food handling gripper,"SOFT ROBOTICS, INC.",SOFT ROBOTICS,SOFT ROBOTICS/OXIPITAL,US,5207890,3,B25J-0015/12,GRAY,,False,True,False,False,False,False,False,
15/741353,10730184,2016-05-23,Robot arm control system,WASEDA UNIVERSITY,WASEDA UNIVERSITY,WASEDA UNIVERSITY,JP,5210179,1,B25J-0009/1633,GRAY,,False,True,False,False,False,False,False,
15/755146,10786908,2016-07-29,Device for attaching to a robot,SIEMENS AKTIENGESELLSCHAFT,SIEMENS,SIEMENS,DE,5211567,1,B25J-0015/0616,GRAY,,False,True,False,False,False,False,False,
15/693970,10688658,2017-09-01,"Method of controlling holding apparatus, holding apparatus, and robot apparatus",CANON KABUSHIKI KAISHA,CANON,CANON,JP,5212627,1,B25J-0009/1633,GRAY,,False,True,False,False,False,False,False,
15/744173,10828769,2016-07-11,"Ascertaining an input command for a robot, said input command being entered by manually exerting a force onto the robot",KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,5213308,1,B25J-0009/0081,GRAY,,False,True,False,False,False,False,False,
14/807434,10016892,2015-07-23,System and method for determining tool offsets,GOOGLE LLC | X DEVELOPMENT LLC,GOOGLE,ALPHABET,US,5215301,1,B25J-0009/1005,GRAY,,False,False,False,False,False,False,False,
15/729953,10456914,2017-10-11,System and method for determining a work offset,X Development LLC,X DEVELOPMENT,ALPHABET,US,5215362,1,B25J-0009/1664,GRAY,,False,False,False,False,False,False,False,
17/087544,11772283,2020-11-02,Clutched joint modules having a quasi-passive elastic actuator for a robotic assembly,Sarcos Corp.,SARCOS,SARCOS,US,5216174,4,B25J-0019/0041,T1_auto,T1후보-제외신호동반(검증필요),True,True,False,True,False,False,False,
16/336410,11260537,2017-09-26,Machine tool for robot-assisted surface finishing,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY GMBH,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY,AT,5216523,1,B25J-0011/0065,GRAY,,False,True,False,False,False,False,False,
15/747603,10391644,2016-07-19,Robot with a force measuring device,KUKA DEUTSCHLAND GMBH,KUKA DEUTSCHLAND,KUKA,DE,5217132,1,B25J-0019/02,GRAY,,False,True,False,False,False,False,False,
