raw,norm,group,국적
"BEIJING KE YI TECHNOLOGY CO., LTD.",BEIJING KE YI TECHNOLOGY,BEIJING KE YI TECHNOLOGY,CN
"Beijing KEYi Technology Co., Ltd.",BEIJING KEYI TECHNOLOGY,BEIJING KEYI TECHNOLOGY,CN
"BEIJING KEYI TECHNOLOGY CO., LTD.",BEIJING KEYI TECHNOLOGY,BEIJING KEYI TECHNOLOGY,CN
Beijing LongRuan Technologies Inc.,BEIJING LONGRUAN TECHNOLOGIES,BEIJING LONGRUAN TECHNOLOGIES,CN
"BEIJING MAGIC PAL TECHNOLOGY CO., LTD.",BEIJING MAGIC PAL TECHNOLOGY,BEIJING MAGIC PAL TECHNOLOGY,CN
BEIJING UNIVERSITY OF TECHNOLOGY,BEIJING UNIVERSITY OF TECHNOLOGY,BEIJING UNIVERSITY OF TECHNOLOGY,CN
"BEIJING XIAOMI ROBOT TECHNOLOGY CO., LTD.",BEIJING XIAOMI ROBOT TECHNOLOGY,BEIJING XIAOMI ROBOT TECHNOLOGY,CN
"BEIJING YOUZHUJU NETWORK TECHNOLOGY CO., LTD.",BEIJING YOUZHUJU NETWORK TECHNOLOGY,BEIJING YOUZHUJU NETWORK TECHNOLOGY,CN
BERKSHIRE GREY INC.,BERKSHIRE GREY,BERKSHIRE GREY,US
"BERKSHIRE GREY, INC.",BERKSHIRE GREY,BERKSHIRE GREY,US
"Berkshire Grey, Inc.",BERKSHIRE GREY,BERKSHIRE GREY,US
"BERKSHIRE GREY OPERATING COMPANY, INC.",BERKSHIRE GREY OPERATING,BERKSHIRE GREY OPERATING,US
"B.G. NEGEV TECHNOLOGIES & APPLICATIONS LTD., AT BEN-GURION UNIVERSITY",BG NEGEV TECHNOLOGIES & APPLICATIONS AT BEN-GURION UNIVERSITY,BG NEGEV TECHNOLOGIES & APPLICATIONS AT BEN-GURION UNIVERSITY,IL
BHS Technologies GmbH,BHS TECHNOLOGIES,BHS TECHNOLOGIES,AT
BIO-RAD EUROPE GMBH,BIO-RAD EUROPE,BIO-RAD EUROPE,CH
BIONIT LABS S.R.L.,BIONIT LABS,BIONIT LABS,IT
BIOSERO INC.,BIOSERO,BIOSERO,US
"BLACK-I ROBOTICS, INC.",BLACK-I ROBOTICS,BLACK-I ROBOTICS,US
BLUE DANUBE ROBOTICS GMBH,BLUE DANUBE ROBOTICS,BLUE DANUBE ROBOTICS,AT
BLUEPRINT LAB PTY LTD,BLUEPRINT LAB PTY,BLUEPRINT LAB PTY,AU
BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,US
"Boston Dymanics, Inc.",BOSTON DYMANICS,BOSTON DYMANICS,US
"Boston Dynamics, Inc.",BOSTON DYNAMICS,HYUNDAI MOTOR GROUP(2021~)/구글·소프트뱅크(이전),US
"BOSTON DYNAMICS, INC.",BOSTON DYNAMICS,HYUNDAI MOTOR GROUP(2021~)/구글·소프트뱅크(이전),US
BOSTON ENGINEERING CORPORATION,BOSTON ENGINEERING,BOSTON ENGINEERING,US
"BOSTON INCUBATOR CENTER, LLC",BOSTON INCUBATOR CENTER,BOSTON INCUBATOR CENTER,US
"BOTBUILT, INC.",BOTBUILT,BOTBUILT,US
"BOZHON PRECISION INDUSTRY TECHNOLOGY CO., LTD.",BOZHON PRECISION INDUSTRY TECHNOLOGY,BOZHON PRECISION INDUSTRY TECHNOLOGY,CN
Bradley Jiping Xu,BRADLEY JIPING XU,BRADLEY JIPING XU,US
BRAGI GmbH,BRAGI,BRAGI,DE
Brain Corporation,BRAIN,BRAIN,US
BRAIN CORPORATION,BRAIN,BRAIN,US
BRAINCO INC.,BRAINCO,BRAINCO,US
"BRIGHT MACHINES, INC.",BRIGHT MACHINES,BRIGHT MACHINES,US
"BRILS Co., Ltd.",BRILS,BRILS,KR
BROKK AKTIEBOLAG,BROKK AKTIEBOLAG,BROKK AKTIEBOLAG,SE
BROWN UNIVERSITY,BROWN UNIVERSITY,BROWN UNIVERSITY,US
BYSTRONIC LASER AG,BYSTRONIC LASER,BYSTRONIC LASER,CH
CALIFORNIA INSTITUTE OF TECHNOLOGY,CALIFORNIA INSTITUTE OF TECHNOLOGY,CALIFORNIA INSTITUTE OF TECHNOLOGY,US
California Institute of Technology,CALIFORNIA INSTITUTE OF TECHNOLOGY,CALIFORNIA INSTITUTE OF TECHNOLOGY,US
CAMOZZI AUTOMATION S.P.A.,CAMOZZI AUTOMATION,CAMOZZI AUTOMATION,IT
CANON KABUSHIKI KAISHA,CANON,CANON,JP
Canon Kabushiki Kaisha,CANON,CANON,JP
CANON USA INC.,CANON USA,CANON,US
Canona Kabushiki Kaisha,CANONA,CANON,JP
"CAPSEN ROBOTICS, INC.",CAPSEN ROBOTICS,CAPSEN ROBOTICS,US
CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,US
"CASIO COMPUTER CO., LTD.",CASIO COMPUTER,CASIO COMPUTER,JP
Caterpillar Inc.,CATERPILLAR,CATERPILLAR,US
CAVOS BAGATELLE VERWALTUNGS GMBH & CO. KG,CAVOS BAGATELLE VERWALTUNGS & CO KG,CAVOS BAGATELLE VERWALTUNGS & CO KG,DE
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,FR
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),FR
CenturyLink Intellectual Property LLC,CENTURYLINK INTELLECTUAL PROPERTY,CENTURYLINK INTELLECTUAL PROPERTY,US
"CHEF ROBOTICS, INC.",CHEF ROBOTICS,CHEF ROBOTICS,US
CHEFEE ROBOTICS INC.,CHEFEE ROBOTICS,CHEFEE ROBOTICS,US
"Cheng Uei Precision Industry Co., Ltd.",CHENG UEI PRECISION INDUSTRY,CHENG UEI PRECISION INDUSTRY,TW
"CHENXING (TIANJIN) AUTOMATION EQUIPMENT CO., LTD.",CHENXING (TIANJIN) AUTOMATION EQUIPMENT,CHENXING (TIANJIN) AUTOMATION EQUIPMENT,CN
"Chieftek Precision Co., Ltd.",CHIEFTEK PRECISION,CHIEFTEK PRECISION,TW
CHINA INSTITUTE OF ATOMIC ENERGY,CHINA INSTITUTE OF ATOMIC ENERGY,CHINA INSTITUTE OF ATOMIC ENERGY,CN
China Jiliang University,CHINA JILIANG UNIVERSITY,CHINA JILIANG UNIVERSITY,CN
City University of Hong Kong,CITY UNIVERSITY OF HONG KONG,CITY UNIVERSITY OF HONG KONG,HK
"CLOUDMINDS (BEIJING) TECHNOLOGIES CO., LTD.",CLOUDMINDS (BEIJING) TECHNOLOGIES,CLOUDMINDS (BEIJING) TECHNOLOGIES,CN
"CLOUDMINDS (SHANGHAI) ROBOTICS SYSTEMS CO., LTD.",CLOUDMINDS (SHANGHAI) ROBOTICS SYSTEMS,CLOUDMINDS (SHANGHAI) ROBOTICS SYSTEMS,CN
"CLOUDMINDS ROBOTICS CO., LTD.",CLOUDMINDS ROBOTICS,CLOUDMINDS ROBOTICS,CN
"CloudMinds Robotics Co., Ltd.",CLOUDMINDS ROBOTICS,CLOUDMINDS ROBOTICS,CN
CLUTTERBOT INC.,CLUTTERBOT,CLUTTERBOT,US
CMES INC.,CMES,CMES,KR
CMR SURGICAL LIMITED,CMR SURGICAL,CMR SURGICAL,GB
COBALT ROBOTICS INC.,COBALT ROBOTICS,COBALT ROBOTICS,US
"CORPORATION, COBIONIX",COBIONIX,COBIONIX,CA
COGNEX CORPORATION,COGNEX,COGNEX,US
COGNIBOTICS AB,COGNIBOTICS,COGNIBOTICS,SE
COGNIBOTICS INC.,COGNIBOTICS,COGNIBOTICS,US
Coleman P. Parker,COLEMAN P PARKER,COLEMAN P PARKER,US
Colin Leonard,COLIN LEONARD,COLIN LEONARD,US
COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,US
Comau S.p.A.,COMAU,COMAU,IT
COMAU S.P.A.,COMAU,COMAU,IT
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,FR
COMMSCOPE TECHNOLOGIES LLC,COMMSCOPE TECHNOLOGIES,COMMSCOPE TECHNOLOGIES,US
"CONGRUENS GROUP, LLC",CONGRUENS GROUP,CONGRUENS GROUP,US
CONTINENTAL AUTOMOTIVE TECHNOLOGIES GMBH,CONTINENTAL AUTOMOTIVE TECHNOLOGIES,CONTINENTAL AUTOMOTIVE TECHNOLOGIES,DE
"Control & Power Systems, Inc.",CONTROL & POWER SYSTEMS,CONTROL & POWER SYSTEMS,US
"CORINDUS, INC.",CORINDUS,CORINDUS,US
Corning Research & Development Corporation,CORNING RESEARCH & DEVELOPMENT,CORNING RESEARCH & DEVELOPMENT,US
COVVI LIMITED,COVVI,COVVI,GB
CREATIVE TECHNOLOGY CORPORATION,CREATIVE TECHNOLOGY,CREATIVE TECHNOLOGY,JP
C.R.F. SOCIETA CONSORTILE PER AZIONI,CRF SOCIETA CONSORTILE PER AZIONI,CRF SOCIETA CONSORTILE PER AZIONI,IT
CTRL ROBOT INC.,CTRL ROBOT,CTRL ROBOT,CA
CUSHYBOTS CORPORATION,CUSHYBOTS,CUSHYBOTS,US
CYBERNET SYSTEMS CORP.,CYBERNET SYSTEMS,CYBERNET SYSTEMS,US
DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY,DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY,DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
Daegu Gyeongbuk Institute of Science and Technology,DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY,DAEGU GYEONGBUK INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
"DAEMYOUNGGEC CO., LTD.",DAEMYOUNGGEC,DAEMYOUNGGEC,KR
"Daifuku Co., Ltd.",DAIFUKU,DAIFUKU,JP
DAIHEN CORPORATION,DAIHEN,DAIHEN,JP
DAIHEN Corporation,DAIHEN,DAIHEN,JP
DAILY COLOR INC.,DAILY COLOR,DAILY COLOR,JP
DALIAN UNIVERSITY OF TECHNOLOGY,DALIAN UNIVERSITY OF TECHNOLOGY,DALIAN UNIVERSITY OF TECHNOLOGY,CN
Daniel Abrams,DANIEL ABRAMS,DANIEL ABRAMS,US
DANIELI & C. OFFICINE MECCANICHE S.P.A.,DANIELI & C OFFICINE MECCANICHE,DANIELI & C OFFICINE MECCANICHE,IT
DANMARKS TEKNISKE UNIVERSITET,DANMARKS TEKNISKE UNIVERSITET,DANMARKS TEKNISKE UNIVERSITET,DK
Darrion Vinh Nguyen,DARRION VINH NGUYEN,DARRION VINH NGUYEN,US
DEAKIN UNIVERSITY,DEAKIN UNIVERSITY,DEAKIN UNIVERSITY,AU
"DELAWARE CAPITAL FORMATION, INC.",DELAWARE CAPITAL FORMATION,DELAWARE CAPITAL FORMATION,US
"DELTA ELECTRONICS, INC.",DELTA ELECTRONICS,DELTA ELECTRONICS,TW
"Delta Electronics, Inc.",DELTA ELECTRONICS,DELTA ELECTRONICS,TW
Delta Electronics Int'l (Singapore) Pte Ltd,DELTA ELECTRONICS INT'L (SINGAPORE) PTE,DELTA ELECTRONICS INT'L (SINGAPORE) PTE,SG
Delta Electronics Int’l (Singapore) Pte Ltd,DELTA ELECTRONICS INT’L (SINGAPORE) PTE,DELTA ELECTRONICS INT’L (SINGAPORE) PTE,SG
Dematic Corp.,DEMATIC,DEMATIC,US
DEMAUREX SA,DEMAUREX,DEMAUREX,CH
Denis Ledenkov,DENIS LEDENKOV,DENIS LEDENKOV,AE
DENSO CORPORATION,DENSO,DENSO,JP
DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP
DENTSU GROUP INC.,DENTSU GROUP,DENTSU GROUP,JP
DESARROLLO DE MÁQUINAS Y SOLUCIONES AUTOMÁTICAS S.L. (DESMASA),DESARROLLO DE MÁQUINAS Y SOLUCIONES AUTOMÁTICAS SL (DESMASA),DESARROLLO DE MÁQUINAS Y SOLUCIONES AUTOMÁTICAS SL (DESMASA),ES
"Design Ready Controls, Inc.",DESIGN READY CONTROLS,DESIGN READY CONTROLS,US
DEUTSCHES ZENTRUM FÜR LUFT- UND RAUMFAHRT E.V.,DEUTSCHES ZENTRUM FÜR LUFT- UND RAUMFAHRT EV,DEUTSCHES ZENTRUM FÜR LUFT- UND RAUMFAHRT EV,DE
"DEXTERITY, INC.",DEXTERITY,DEXTERITY,US
"Dexterity, Inc.",DEXTERITY,DEXTERITY,US
"DEXTROUS ROBOTICS, INC.",DEXTROUS ROBOTICS,DEXTROUS ROBOTICS,US
"Dibi (Chongqing) Intelligent Technology Research Institute Co., Ltd.",DIBI (CHONGQING) INTELLIGENT TECHNOLOGY RESEARCH INSTITUTE,DIBI (CHONGQING) INTELLIGENT TECHNOLOGY RESEARCH INSTITUTE,CN
"DIGITAL DREAM LABS, INC.",DIGITAL DREAM LABS,DIGITAL DREAM LABS,US
"Diligent Robotics, Inc.",DILIGENT ROBOTICS,DILIGENT ROBOTICS,US
"DILIGENT ROBOTICS, INC.",DILIGENT ROBOTICS,DILIGENT ROBOTICS,US
Dimitri Duknic,DIMITRI DUKNIC,DIMITRI DUKNIC,CA
"Disney Enterprises, Inc.",DISNEY ENTERPRISES,DISNEY ENTERPRISES,US
"DISNEY ENTERPRISES, INC.",DISNEY ENTERPRISES,DISNEY ENTERPRISES,US
"DIVERGENT TECHNOLOGIES, INC.",DIVERGENT TECHNOLOGIES,DIVERGENT TECHNOLOGIES,US
"DMG MORI CO., LTD.",DMG MORI,DMG MORI,JP
Dong Ouyang,DONG OUYANG,DONG OUYANG,US
Douglas H. DeCandia,DOUGLAS H DECANDIA,DOUGLAS H DECANDIA,US
"DUALITY ROBOTICS, INC.",DUALITY ROBOTICS,DUALITY ROBOTICS,US
DUECKER GROUP GMBH,DUECKER GROUP,DUECKER GROUP,DE
DUPONT DE NEMOURS BELGIUM BV,DUPONT DE NEMOURS BELGIUM,DUPONT DE NEMOURS BELGIUM,BE
"DUSTY ROBOTICS, IRC.",DUSTY ROBOTICS IRC,DUSTY ROBOTICS IRC,US
DYSON TECHNOLOGY LIMITED,DYSON TECHNOLOGY,DYSON TECHNOLOGY,GB
DÜRR SOMAC GMBH,DÜRR SOMAC,DÜRR SOMAC,DE
DÜRR SYSTEMS AG,DÜRR SYSTEMS,DÜRR SYSTEMS,DE
Earth Robotics,EARTH ROBOTICS,EARTH ROBOTICS,US
EBOTS INC.,EBOTS,EBOTS,US
eBots Inc.,EBOTS,EBOTS,US
"ECOVACS ROBOTICS CO., LTD.",ECOVACS ROBOTICS,ECOVACS ROBOTICS,CN
EELUME AS,EELUME AS,EELUME AS,NO
Electric Power Science & Research Institute of State Grid Tianjin Electric Power Company,ELECTRIC POWER SCIENCE & RESEARCH INSTITUTE OF STATE GRID TIANJIN ELECTRIC POWER,ELECTRIC POWER SCIENCE & RESEARCH INSTITUTE OF STATE GRID TIANJIN ELECTRIC POWER,CN
ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,KR
Electronics and Telecommunications Research Institute,ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,KR
"ELEVATE ROBOTICS, INC.",ELEVATE ROBOTICS,ELEVATE ROBOTICS,US
"ELYTRA TECHNOLOGIES, LLC",ELYTRA TECHNOLOGIES,ELYTRA TECHNOLOGIES,US
"EMERGING ACQUISITIONS, LLC",EMERGING ACQUISITIONS,EMERGING ACQUISITIONS,US
EMI INTEGRATED SYSTEMS LTD.,EMI INTEGRATED SYSTEMS,EMI INTEGRATED SYSTEMS,IL
EMOTECH LTD,EMOTECH,EMOTECH,GB
EMPIRE TECHNOLOGY DEVELOPMENT LLC,EMPIRE TECHNOLOGY DEVELOPMENT,EMPIRE TECHNOLOGY DEVELOPMENT,US
EMPOWER ROBOTICS CORPORATION,EMPOWER ROBOTICS,EMPOWER ROBOTICS,US
Epifeast Inc.,EPIFEAST,EPIFEAST,US
EQUATE PETROCHEMICAL COMPANY,EQUATE PETROCHEMICAL,EQUATE PETROCHEMICAL,KW
"EROBOT, J.S.A.",EROBOT JSA,EROBOT JSA,SK
"ETAK SYSTEMS, LLC",ETAK SYSTEMS,ETAK SYSTEMS,US
ETH ZURICH,ETH ZURICH,ETH ZURICH,CH
Evodyne Robotics Corporation,EVODYNE ROBOTICS,EVODYNE ROBOTICS,US
F ROBOTICS ACQUISITIONS LTD.,F ROBOTICS ACQUISITIONS,F ROBOTICS ACQUISITIONS,IL
FABRICA ROBOTICS PTE LTD.,FABRICA ROBOTICS PTE,FABRICA ROBOTICS PTE,SG
FACC AG,FACC,FACC,AT
"FACEBOOK, INC.",FACEBOOK,FACEBOOK,US
"Fallas Automation, Inc.",FALLAS AUTOMATION,FALLAS AUTOMATION,US
"FAMILY INADA CO., LTD.",FAMILY INADA,FAMILY INADA,JP
FANUC CORPORATION,FANUC,FANUC,JP
Fanuc Corporation,FANUC,FANUC,JP
"CORPORATION, FANUC",FANUC,FANUC,JP
FANUC AMERICA CORPORATION,FANUC AMERICA,FANUC,US
FANUC CORPORARATION,FANUC CORPORARATION,FANUC,JP
"FARO TECHNOLOGIES, INC.",FARO TECHNOLOGIES,FARO TECHNOLOGIES,US
FAROBOT INC.,FAROBOT,FAROBOT,TW
FASTBRICK IP PTY LTD,FASTBRICK IP PTY,FASTBRICK IP PTY,AU
Feng Chia University,FENG CHIA UNIVERSITY,FENG CHIA UNIVERSITY,TW
FERROBOTICS COMPLIANT ROBOT TECHNOLOGY GMBH,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY,AT
FerRobotics Compliant Robot Technology GmbH,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY,FERROBOTICS COMPLIANT ROBOT TECHNOLOGY,AT
FESTO SE & CO. KG,FESTO & CO KG,FESTO & CO KG,DE
