family_id,expansion_level,title,abstract,text,label
60992273,SEED,Compositions and methods for generating a haploid of a target plant,"A haploid inducer plant line genetically modified with a nucleic acid molecule encoding a DNA editing agent is provided. Also provided is a method of genetically modifying a haploid inducer, the method comprising genetically modifying the haploid inducer plant with a nucleic acid molecule encoding a DNA editing agent, thereby genetically modifying the haploid inducer. Also provided are methods of using such haploid plants in breeding.","Compositions and methods for generating a haploid of a target plant A haploid inducer plant line genetically modified with a nucleic acid molecule encoding a DNA editing agent is provided. Also provided is a method of genetically modifying a haploid inducer, the method comprising genetically modifying the haploid inducer plant with a nucleic acid molecule encoding a DNA editing agent, thereby genetically modifying the haploid inducer. Also provided are methods of using such haploid plants in breeding.",1
58550022,ANTISEED-manual,Anticancer agent,"PROBLEM TO BE SOLVED: To provide an anticancer agent causing no DNA cleavage.SOLUTION: An anticancer agent comprises a compound represented by the following formula (1) as an active ingredient (in the formula (1), R-Rindependently represent a hydrogen atom, a C1-C30 aliphatic group or a group represented by a formula RCO- (where, R is a C1-C30 aliphatic group or a C1-C10 aromatic group or a hetero aromatic group)).SELECTED DRAWING: None","Anticancer agent PROBLEM TO BE SOLVED: To provide an anticancer agent causing no DNA cleavage.SOLUTION: An anticancer agent comprises a compound represented by the following formula (1) as an active ingredient (in the formula (1), R-Rindependently represent a hydrogen atom, a C1-C30 aliphatic group or a group represented by a formula RCO- (where, R is a C1-C30 aliphatic group or a C1-C10 aromatic group or a hetero aromatic group)).SELECTED DRAWING: None",0
57543744,ANTISEED-manual,"Systems and methods for classifying, proiritizing and interpreting genetic variants and therapies using a deep neural network","Described herein are systems and methods that receive as input a DNA or RNA  sequence, extract features, and apply layers of processing units to compute one ore more condition-specific cell variables, corresponding to cellular quantities measured under different conditions The system may be applied to a sequence containing a genetic variant, and also to a corresponding reference sequence to determine how much the condition-specific cell variables change because of the variant. The change in the condition-specific cell variables are used to compute a score for how deleterious a variant is, to classify a variant&#39;s level of deleteriousness, to prioritize variants for subsequent processing, and to compare a test variant to variants of known deleteriousness. By modifying the variant or the extracted features so as to incorporate the effects of DNA editing, oligonucleotide therapy, DNA- or RNA-binding protein therapy or other therapies, the system may be used to determine if the deleterious effects of the original variant can be reduced.","Systems and methods for classifying, proiritizing and interpreting genetic variants and therapies using a deep neural network Described herein are systems and methods that receive as input a DNA or RNA sequence, extract features, and apply layers of processing units to compute one ore more condition-specific cell variables, corresponding to cellular quantities measured under different conditions The system may be applied to a sequence containing a genetic variant, and also to a corresponding reference sequence to determine how much the condition-specific cell variables change because of the variant. The change in the condition-specific cell variables are used to compute a score for how deleterious a variant is, to classify a variant&#39;s level of deleteriousness, to prioritize variants for subsequent processing, and to compare a test variant to variants of known deleteriousness. By modifying the variant or the extracted features so as to incorporate the effects of DNA editing, oligonucleotide therapy, DNA- or RNA-binding protein therapy or other therapies, the system may be used to determine if the deleterious effects of the original variant can be reduced.",0
43856334,ANTISEED-manual,Vaccines comprising heat sensitive transgenes,"A temperature sensitive bacterium (TS), where the temperature sensitive bacterium is a mesophilic bacterium comprising one or more essential nucleic acid coding sequences encoding a polypeptide from a psychrophilic bacterium, wherein said nucleic acid coding sequences they are inserted into the genome of said mesophilic bacterium by homologous recombination thus functionally replacing the homologue of the mesophilic bacterium of the essential polynucleotide TS and where said mesophilic temperature sensitive bacterium is for use in the production of an immune response to the bacteria sensitive to the mesophilic temperature in a subject.","Vaccines comprising heat sensitive transgenes A temperature sensitive bacterium (TS), where the temperature sensitive bacterium is a mesophilic bacterium comprising one or more essential nucleic acid coding sequences encoding a polypeptide from a psychrophilic bacterium, wherein said nucleic acid coding sequences they are inserted into the genome of said mesophilic bacterium by homologous recombination thus functionally replacing the homologue of the mesophilic bacterium of the essential polynucleotide TS and where said mesophilic temperature sensitive bacterium is for use in the production of an immune response to the bacteria sensitive to the mesophilic temperature in a subject.",0
53480766,ANTISEED-manual,Fabricating Device of Three-Dimensional Scaffold and Fabricating Method Thereof,"A fabricating device of a three-dimensional (3-D) scaffold comprises a bubble generator, a bubble mixing channel, a coagulating solution channel and a bubble collector. The bubble generator includes a gas channel and a gel solution channel crossing the gas channel. The bubble mixing channel is connected with a first outlet of the bubble generator. The coagulating solution channel is connected with the bubble mixing channel. The bubble collector is connected with a second outlet of the bubble mixing channel.","Fabricating Device of Three-Dimensional Scaffold and Fabricating Method Thereof A fabricating device of a three-dimensional (3-D) scaffold comprises a bubble generator, a bubble mixing channel, a coagulating solution channel and a bubble collector. The bubble generator includes a gas channel and a gel solution channel crossing the gas channel. The bubble mixing channel is connected with a first outlet of the bubble generator. The coagulating solution channel is connected with the bubble mixing channel. The bubble collector is connected with a second outlet of the bubble mixing channel.",0
18329078,ANTISEED-AF,Steel decarburization prevention method,"(57) [Summary] [Purpose] In the atmospheric annealing of decarburized steel, the decomposition of CO below the A  1  transformation point is suppressed to prevent the generation of soot.   Recombust in the temperature range below the A1 transformation point. [Configuration] atmospheric gas      CO-CO 2 -H 2 -H 2      O-N 2   In an atmosphere continuous annealing furnace in which the charging part 1 and the extracting part 2 of the system are open type, the extraction temperature of the material to be treated is 500 ° C. or more, the atmospheric gas flow rate of the extracting part 2 is 0.5 m / sec or more, and the furnace of the extracting part 2 After heating and soaking the material to be treated above the A  1  transformation point under the condition of an internal pressure of 0.1 mm / H  2  O or above, 200 ° C./hr or less from the A  1  transformation point to the extraction temperature, and C in the atmosphere gas.   O and CO  2  are 100 calculated by (CO)  2  / CO  2.    Cooling is performed under the above conditions of 300 or less. [Effect] It is possible to prevent the generation of soot in the low temperature carburization reaction,   It eliminates the need for soaking for a long time at high temperatures above the A  3  transformation point,   The processing can be performed at low temperature and in a short time, and the heat treatment cost can be significantly reduced.","Steel decarburization prevention method (57) [Summary] [Purpose] In the atmospheric annealing of decarburized steel, the decomposition of CO below the A 1 transformation point is suppressed to prevent the generation of soot. Recombust in the temperature range below the A1 transformation point. [Configuration] atmospheric gas CO-CO 2 -H 2 -H 2 O-N 2 In an atmosphere continuous annealing furnace in which the charging part 1 and the extracting part 2 of the system are open type, the extraction temperature of the material to be treated is 500 ° C. or more, the atmospheric gas flow rate of the extracting part 2 is 0.5 m / sec or more, and the furnace of the extracting part 2 After heating and soaking the material to be treated above the A 1 transformation point under the condition of an internal pressure of 0.1 mm / H 2 O or above, 200 ° C./hr or less from the A 1 transformation point to the extraction temperature, and C in the atmosphere gas. O and CO 2 are 100 calculated by (CO) 2 / CO 2. Cooling is performed under the above conditions of 300 or less. [Effect] It is possible to prevent the generation of soot in the low temperature carburization reaction, It eliminates the need for soaking for a long time at high temperatures above the A 3 transformation point, The processing can be performed at low temperature and in a short time, and the heat treatment cost can be significantly reduced.",0
72940398,SEED,Method for detecting the antibiotic resistance gene blavim-2 (metal-beta-lactamase class b vim-2) pseudomonas aeruginosa in ultralow concentrations and specific oligonucleotides for use in the method,"FIELD: biotechnology. 
     SUBSTANCE: invention relates to biotechnology, specifically to a number of agents – RNA guides, ribonucleoprotein complexes of the CRISPR/CAS system, containing RNA guides, diagnostic methods and kits containing ribonucleoprotein complexes of the CRISPR/CAS system and specific oligonucleotides for pre-amplification of a highly conserved portion of the antibiotic resistance gene of blaVIM-2 Pseudomonas aeruginosa. Invention enables efficient detection of the antibiotic resistance gene blaVIM-2 Pseudomonas aeruginosa after specific amplification of a fragment of this gene. RNA guides are represented by sequences SEQ ID NO: 1-5, specific oligonucleotides for pre-amplification are presented by sequences SEQ ID NO: 6 and SEQ ID NO: 7. 
     EFFECT: invention provides detecting single copies of the antibiotic resistance gene blaVTM-2 Pseudomonas aeruginosa. 
     5 cl, 5 tbl, 13 dwg","Method for detecting the antibiotic resistance gene blavim-2 (metal-beta-lactamase class b vim-2) pseudomonas aeruginosa in ultralow concentrations and specific oligonucleotides for use in the method FIELD: biotechnology. SUBSTANCE: invention relates to biotechnology, specifically to a number of agents – RNA guides, ribonucleoprotein complexes of the CRISPR/CAS system, containing RNA guides, diagnostic methods and kits containing ribonucleoprotein complexes of the CRISPR/CAS system and specific oligonucleotides for pre-amplification of a highly conserved portion of the antibiotic resistance gene of blaVIM-2 Pseudomonas aeruginosa. Invention enables efficient detection of the antibiotic resistance gene blaVIM-2 Pseudomonas aeruginosa after specific amplification of a fragment of this gene. RNA guides are represented by sequences SEQ ID NO: 1-5, specific oligonucleotides for pre-amplification are presented by sequences SEQ ID NO: 6 and SEQ ID NO: 7. EFFECT: invention provides detecting single copies of the antibiotic resistance gene blaVTM-2 Pseudomonas aeruginosa. 5 cl, 5 tbl, 13 dwg",1
58588722,SEED,Primer for prohibitin2 gene remove using CRISPR/CAS9 system,"In the present invention, a method for removing a prohibitin-2 gene using a CRISPR/CAS9 system, and a primer used therefor are specially designed to accurately remove the prohibitin-2 gene only, so as to specifically and accurately remove the prohibitin-2 gene only, which is a targeted gene, while having no effect on a non-targeted gene, thereby remarkably improving removal efficiency.","Primer for prohibitin2 gene remove using CRISPR/CAS9 system In the present invention, a method for removing a prohibitin-2 gene using a CRISPR/CAS9 system, and a primer used therefor are specially designed to accurately remove the prohibitin-2 gene only, so as to specifically and accurately remove the prohibitin-2 gene only, which is a targeted gene, while having no effect on a non-targeted gene, thereby remarkably improving removal efficiency.",1
47046550,ANTISEED-manual,Method for adjusting a gas sensor,"In a method for adjusting a gas sensor having a hollow chamber connected to a measuring gas chamber and having an electrochemical pump cell electrochemically pumping the gas component into or out of the hollow chamber, at least two pumping-in phases are provided in which the gas component is pumped into the hollow chamber by the electrochemical pump cell, and at least two pumping-out phases are provided in which the gas component is pumped out of the hollow chamber by the electrochemical pump cell. On the basis of at least one feature of the pump current during the pumping-out phases (M out ), at least one piece of information for adjusting the gas sensor is generated. A parameter regarding the pumping-in is predefined differently in the at least two pumping-in phases.","Method for adjusting a gas sensor In a method for adjusting a gas sensor having a hollow chamber connected to a measuring gas chamber and having an electrochemical pump cell electrochemically pumping the gas component into or out of the hollow chamber, at least two pumping-in phases are provided in which the gas component is pumped into the hollow chamber by the electrochemical pump cell, and at least two pumping-out phases are provided in which the gas component is pumped out of the hollow chamber by the electrochemical pump cell. On the basis of at least one feature of the pump current during the pumping-out phases (M out ), at least one piece of information for adjusting the gas sensor is generated. A parameter regarding the pumping-in is predefined differently in the at least two pumping-in phases.",0
56489180,SEED,Fast CRISPR-Cas9 working efficiency testing system and application thereof,"The invention discloses a fast CRISPR-Cas9 working efficiency testing system and application thereof. The testing system comprises a plasmid used for expressing sg RNA, a plasmid used for expressing Cas9 and a reporting system used for testing the CRISPR-Cas9 gene editing efficiency; the reporting system can splice the C-terminal of a nucleotide segment capable of coding effective protein and the N-terminal of a reporter gene and insert two restriction endonuclease enzyme digestion sites into the splicing position; before a special gene is edited (knocked out) through the CRISPR-Cas9 system, selection of a target sequence is vital, and the selection can influence the recognition efficiency of the sg RNA to target DNA, the binding efficiency of the sg RNA with the target DNA, the targeted cutting efficiency of the Cas9 and the NHEJ repairing efficiency. According to the system, the gene editing efficiency of different sgRNA-target DNA sequences can be quantitatively compared, the sgRNA with the best working effect can be determined within a short time, the actual knockout success rate is increased, therefore, the working cost can be lowered, the working efficiency can be improved, and the working progress can be promoted.","Fast CRISPR-Cas9 working efficiency testing system and application thereof The invention discloses a fast CRISPR-Cas9 working efficiency testing system and application thereof. The testing system comprises a plasmid used for expressing sg RNA, a plasmid used for expressing Cas9 and a reporting system used for testing the CRISPR-Cas9 gene editing efficiency; the reporting system can splice the C-terminal of a nucleotide segment capable of coding effective protein and the N-terminal of a reporter gene and insert two restriction endonuclease enzyme digestion sites into the splicing position; before a special gene is edited (knocked out) through the CRISPR-Cas9 system, selection of a target sequence is vital, and the selection can influence the recognition efficiency of the sg RNA to target DNA, the binding efficiency of the sg RNA with the target DNA, the targeted cutting efficiency of the Cas9 and the NHEJ repairing efficiency. According to the system, the gene editing efficiency of different sgRNA-target DNA sequences can be quantitatively compared, the sgRNA with the best working effect can be determined within a short time, the actual knockout success rate is increased, therefore, the working cost can be lowered, the working efficiency can be improved, and the working progress can be promoted.",1
29425004,ANTISEED-manual,"Nucleic acids, proteins, and antibodies","The present invention relates to novel respiratory system related polynucleotides and the polypeptides encoded by these polynucleotides herein collectively known as “respiratory system antigens,” and the use of such respiratory system antigens for detecting disorders of the respiratory system, particularly the presence of cancer of respiratory system tissues and cancer metastases. More specifically, isolated respiratory system associated nucleic acid molecules are provided encoding novel respiratory system associated polypeptides. Novel respiratory system polypeptides and antibodies that bind to these polypeptides are provided. Also provided are vectors, host cells, and recombinant and synthetic methods for producing human respiratory system associated polynucleotides and/or polypeptides. The invention further relates to diagnostic and therapeutic methods useful for diagnosing, treating, preventing and/or prognosing disorders related to the respiratory system, including cancer of respiratory system tissues, and therapeutic methods for treating such disorders. The invention further relates to screening methods for identifying agonists and antagonists of polynucleotides and polypeptides of the invention. The present invention further relates to methods and/or compositions for inhibiting the production and function of the polypeptides of the present invention.","Nucleic acids, proteins, and antibodies The present invention relates to novel respiratory system related polynucleotides and the polypeptides encoded by these polynucleotides herein collectively known as “respiratory system antigens,” and the use of such respiratory system antigens for detecting disorders of the respiratory system, particularly the presence of cancer of respiratory system tissues and cancer metastases. More specifically, isolated respiratory system associated nucleic acid molecules are provided encoding novel respiratory system associated polypeptides. Novel respiratory system polypeptides and antibodies that bind to these polypeptides are provided. Also provided are vectors, host cells, and recombinant and synthetic methods for producing human respiratory system associated polynucleotides and/or polypeptides. The invention further relates to diagnostic and therapeutic methods useful for diagnosing, treating, preventing and/or prognosing disorders related to the respiratory system, including cancer of respiratory system tissues, and therapeutic methods for treating such disorders. The invention further relates to screening methods for identifying agonists and antagonists of polynucleotides and polypeptides of the invention. The present invention further relates to methods and/or compositions for inhibiting the production and function of the polypeptides of the present invention.",0
23273418,ANTISEED-AF,Apparatus for supporting and displaying a doll,"Apparatus for supporting and displaying a doll including a base, one or more columns connected to the base, and a plurality of elongated support elements extending from the columns.","Apparatus for supporting and displaying a doll Apparatus for supporting and displaying a doll including a base, one or more columns connected to the base, and a plurality of elongated support elements extending from the columns.",0
62906012,SEED,Lentivirus and non-integrating lentivirus as viral vector to deliver crispr therapeutic,"A composition for treating a lysogenic virus, including a lentiviral vector encoding isolated nucleic acid encoding two or more gene editors chosen from gene editors that target viral DNA, gene editors that target viral RNA, and combinations thereof. A composition for treating a lytic virus, including a lentiviral vector encoding isolated nucleic acid encoding at least one gene editor that targets viral DNA and a viral RNA targeting composition. A composition for treating both lysogenic and lytic viruses, including a lentiviral vector encoding isolated nucleic acid encoding two or more gene editors that target viral RNA. A composition for treating lytic viruses. Methods of treating a lysogenic virus or a lytic virus, by administering the above compositions to an individual having a virus and inactivating the virus.","Lentivirus and non-integrating lentivirus as viral vector to deliver crispr therapeutic A composition for treating a lysogenic virus, including a lentiviral vector encoding isolated nucleic acid encoding two or more gene editors chosen from gene editors that target viral DNA, gene editors that target viral RNA, and combinations thereof. A composition for treating a lytic virus, including a lentiviral vector encoding isolated nucleic acid encoding at least one gene editor that targets viral DNA and a viral RNA targeting composition. A composition for treating both lysogenic and lytic viruses, including a lentiviral vector encoding isolated nucleic acid encoding two or more gene editors that target viral RNA. A composition for treating lytic viruses. Methods of treating a lysogenic virus or a lytic virus, by administering the above compositions to an individual having a virus and inactivating the virus.",1
59433281,ANTISEED-manual,A kind of saccharomyces bayanus turns preparation and the authentication method of FZF1 gene resistant to sulfur transformants,"A kind of saccharomyces bayanus turns FZF1 The preparation of gene resistant to sulfur transformant and authentication method, belong to cultivation yeast strain and authentication method.The present invention includes：Build FZF1 Expression vector；Saccharomyces bayanus transgenosis；PCR screens transformant；Saccharomyces bayanus bacterial strain Sulfur tolerance is determined；RT PCR are detected；Transformant growth curve is determined；Transcriptome analysis etc..Experiment shows transformant A9  FZF1 1 and A9  FZF1 2 can grow in the culture medium containing 40 mM sodium sulfites, while the invention provides identification enhancing FZF1 The method of the related gene expression amount of the saccharomyces bayanus new strains sulphur metabolism network of gene expression.","A kind of saccharomyces bayanus turns preparation and the authentication method of FZF1 gene resistant to sulfur transformants A kind of saccharomyces bayanus turns FZF1 The preparation of gene resistant to sulfur transformant and authentication method, belong to cultivation yeast strain and authentication method.The present invention includes：Build FZF1 Expression vector；Saccharomyces bayanus transgenosis；PCR screens transformant；Saccharomyces bayanus bacterial strain Sulfur tolerance is determined；RT PCR are detected；Transformant growth curve is determined；Transcriptome analysis etc..Experiment shows transformant A9 FZF1 1 and A9 FZF1 2 can grow in the culture medium containing 40 mM sodium sulfites, while the invention provides identification enhancing FZF1 The method of the related gene expression amount of the saccharomyces bayanus new strains sulphur metabolism network of gene expression.",0
44816934,SEED,Genome editing of a Rosa locus using nucleases,"Disclosed herein are methods and compositions for genome editing of a  Rosa  locus, using fusion proteins comprising a DNA binding domain and a cleavage domain or cleavage half-domain. Polynucleotides encoding said fusion proteins are also provided, as are cells comprising said polynucleotides and fusion proteins.","Genome editing of a Rosa locus using nucleases Disclosed herein are methods and compositions for genome editing of a Rosa locus, using fusion proteins comprising a DNA binding domain and a cleavage domain or cleavage half-domain. Polynucleotides encoding said fusion proteins are also provided, as are cells comprising said polynucleotides and fusion proteins.",1
